line_id	form	lemma	pos	corr_lemma	corr_pos	damage
F_M1_1_001	wapene	wapen	n(plu)	wapen	n(plu)	False
F_M1_1_001	merten	martinus	n(prop)	martinus	n(prop)	False
F_M1_1_001	hoe	hoe	adv(inter)	hoe	adv(inter)	False
F_M1_1_001	saelt	het+zullen	pron(pers,3,sing)+v(fin,pres,aux_cop)	het+zullen	pron(pers,3,sing)+v(fin,pres,aux_cop)	False
F_M1_1_001	gaen	gaan	v(infin)	gaan	v(infin)	False

F_M1_1_002	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
F_M1_1_002	dese	deze	pron(dem)	deze	pron(dem)	False
F_M1_1_002	werelt	wereld	n(sing)	wereld	n(sing)	False
F_M1_1_002	yet	iet	pron(indef)	iet	pron(indef)	False
F_M1_1_002	lange	lang	adv(gener)	lang	adv(gener)	False
F_M1_1_002	staen	staan	v(infin)	staan	v(infin)	False

F_M1_1_003	in	in	adp()	in	adp()	False
F_M1_1_003	dus	dus	adv(dem)	dus	adv(dem)	False
F_M1_1_003	crancken	krank	adj()	krank	adj()	False
F_M1_1_003	geloue	geloof	n(sing)	geloof	n(sing)	False

F_M1_1_004	soe	zo	adv(resum)	zo	adv(resum)	False
F_M1_1_004	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
F_M1_1_004	mijn	mijn	pron(poss)	mijn	pron(poss)	False
F_M1_1_004	vrouwe	vrouw	n(sing)	vrouw	n(sing)	False
F_M1_1_004	van	van	adp()	van	adp()	False
F_M1_1_004	eeren	eer	n(sing)	eer	n(sing)	False
F_M1_1_004	saen	zaan	adv(gener)	zaan	adv(gener)	False

F_M1_1_005	sonder	zonder	adp()	zonder	adp()	False
F_M1_1_005	twiuel	twijfel	n(sing)	twijfel	n(sing)	False
F_M1_1_005	ende	en	conj(coord)	en	conj(coord)	False
F_M1_1_005	waen	waan	n(sing)	waan	n(sing)	False

F_M1_1_006	rumen	ruimen	v(infin)	ruimen	v(infin)	False
F_M1_1_006	der	de	art(def)	de	art(def)	False
F_M1_1_006	heeren	heer	n(plu)	heer	n(plu)	False
F_M1_1_006	houe	hof	n(sing)	hof	n(sing)	False

F_M1_1_007	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
F_M1_1_007	zie	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
F_M1_1_007	den	de	art(def)	de	art(def)	False
F_M1_1_007	scalken	schalk	n(prop)	schalk	n(prop)	False
F_M1_1_007	wel	wel	adv(gener)	wel	adv(gener)	False
F_M1_1_007	ontfaen	ontvangen	v(participle,past)	ontvangen	v(participle,past)	False

F_M1_1_008	die	die	pron(rel)	die	pron(rel)	False
F_M1_1_008	de	de	art(def)	de	art(def)	False
F_M1_1_008	heeren	heer	n(plu)	heer	n(plu)	False
F_M1_1_008	connen	kunnen	v(fin,pres,aux_cop)	kunnen	v(fin,pres,aux_cop)	False
F_M1_1_008	dwaen	dwaan	v(infin)	dwaan	v(infin)	False

F_M1_1_009	ende	en	conj(coord)	en	conj(coord)	False
F_M1_1_009	plucken	plukken	n(plu)	plukken	n(plu)	False
F_M1_1_009	vanden	van+de	adp()+art(def)	van+de	adp()+art(def)	False
F_M1_1_009	stoue	stoof	n(sing)	stoof	n(sing)	False

F_M1_1_010	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
F_M1_1_010	zye	zij	v(fin,pres,aux_cop)	zij	v(fin,pres,aux_cop)	False
F_M1_1_010	den	de	art(def)	de	art(def)	False
F_M1_1_010	gherechten	gerecht	n(plu)	gerecht	n(plu)	False
F_M1_1_010	slaen	slaan	v(infin)	slaan	v(infin)	False

F_M1_1_011	beyde	beide	num(indef)	beide	num(indef)	False
F_M1_1_011	bescatten	beschatten	v(infin)	beschatten	v(infin)	False
F_M1_1_011	ende	en	conj(coord)	en	conj(coord)	False
F_M1_1_011	vaen	vangen	v(infin)	vangen	v(infin)	False

F_M1_1_012	alse	als	conj(subord)	als	conj(subord)	False
F_M1_1_012	die	de	art(def)	de	art(def)	False
F_M1_1_012	meese	mees	pron(indef)+pron(pers,3,plu)	mees	pron(indef)+pron(pers,3,plu)	False
F_M1_1_012	in	in	adp()	in	adp()	False
F_M1_1_012	die	de	art(def)	de	art(def)	False
F_M1_1_012	cloue	kloof	n(sing)	kloof	n(sing)	False

F_M1_1_013	recht	recht	n(sing)	recht	n(sing)	False
F_M1_1_013	often	of	conj(coord)+adp()+art(def)	of	conj(coord)+adp()+art(def)	False
F_M1_1_013	god	god	n(sing)	god	n(sing)	False
F_M1_1_013	verscroue	verschrijven	v(fin,pres,lex)	verschrijven	v(fin,pres,lex)	False

F_M1_2_014	hoe	hoe	adv(inter)	hoe	adv(inter)	False
F_M1_2_014	langhe	lang	adv(gener)	lang	adv(gener)	False
F_M1_2_014	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
F_M1_2_014	gedogen	gedogen	v(infin)	gedogen	v(infin)	False
F_M1_2_014	dit	dit	pron(dem)	dit	pron(dem)	False

F_M1_2_015	god	god	n(sing)	god	n(sing)	False
F_M1_2_015	die	die	pron(rel)	die	pron(rel)	False
F_M1_2_015	alle	al	num(indef)	al	num(indef)	False
F_M1_2_015	dinc	ding	n(plu)	ding	n(plu)	False
F_M1_2_015	besit	bezit	v(fin,pres,lex)	bezit	v(fin,pres,lex)	False

F_M1_2_016	in	in	adp()	in	adp()	False
F_M1_2_016	ziine	zijn	pron(poss)	zijn	pron(poss)	False
F_M1_2_016	heerscappie	heerschappij	n(sing)	heerschappij	n(sing)	False

F_M1_2_017	dattie	dat+de	conj(subord)+art(def)	dat+de	conj(subord)+art(def)	False
F_M1_2_017	goede	goed	n(sing)	goed	n(sing)	False
F_M1_2_017	vleeut	uitleven	v(fin,pres,lex)	uitleven	v(fin,pres,lex)	False
F_M1_2_017	ende	en	conj(coord)	en	conj(coord)	False
F_M1_2_017	bid	bidden	v(imp)	bidden	v(imp)	False

F_M1_2_018	hem	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
F_M1_2_018	en	ne	adv(neg)	ne	adv(neg)	False
F_M1_2_018	doech	doen	v(fin,pres,lex)	doen	v(fin,pres,lex)	False
F_M1_2_018	dat	dat	conj(subord)	dat	conj(subord)	False
F_M1_2_018	no	no	adp()	no	adp()	False
F_M1_2_018	dit	dit	pron(dem)	dit	pron(dem)	False

F_M1_2_019	datti	dat+hij	conj(subord)+pron(pers,3,sing)	dat+hij	conj(subord)+pron(pers,3,sing)	False
F_M1_2_019	ye	ie	adv(gener)	ie	adv(gener)	False
F_M1_2_019	ghedye	gid	n(sing)	gid	n(sing)	False

F_M1_2_020	al	al	adv(gener)	al	adv(gener)	False
F_M1_2_020	gaet	gaan	v(fin,pres,lex)	gaan	v(fin,pres,lex)	False
F_M1_2_020	inden	in+de	adp()+art(def)	in+de	adp()+art(def)	False
F_M1_2_020	helschen	hels	adj()	hels	adj()	False
F_M1_2_020	pit	put	n(sing)	put	n(sing)	False

F_M1_2_021	eest	het+zijn	v(fin,pres,aux_cop)+pron(pers,3,sing)	het+zijn	v(fin,pres,aux_cop)+pron(pers,3,sing)	False
F_M1_2_021	grau	grauw	adj()	grauw	adj()	False
F_M1_2_021	blau	blauw	adj()	blauw	adj()	False
F_M1_2_021	zwert	zwaard	n(sing)	zwaard	n(sing)	False
F_M1_2_021	oft	of	conj(coord)	of	conj(coord)	False
F_M1_2_021	wit	wit	adj()	wit	adj()	False

F_M1_2_022	hets	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	False
F_M1_2_022	ghetrouwe	getrouw	adj()	getrouw	adj()	False
F_M1_2_022	als	als	conj(subord)	als	conj(subord)	False
F_M1_2_022	die	die	pron(rel)	die	pron(rel)	False
F_M1_2_022	zie	zij	n(sing)	zij	n(sing)	False

F_M1_2_023	recht	recht	adj()	recht	adj()	False
F_M1_2_023	man	man	n(sing)	man	n(sing)	False
F_M1_2_023	deluet	delven	v(fin,pres,lex)	delven	v(fin,pres,lex)	False
F_M1_2_023	sonder	zonder	adp()	zonder	adp()	False
F_M1_2_023	spit	spit	n(sing)	spit	n(sing)	False

F_M1_2_024	hine	hij+ne	pron(pers,3,sing)+adv(neg)	hij+ne	pron(pers,3,sing)+adv(neg)	False
F_M1_2_024	heeft	hebben	v(fin,pres,aux_cop)	hebben	v(fin,pres,aux_cop)	False
F_M1_2_024	te	te	adp()	te	adp()	False
F_M1_2_024	poynte	punt	n(sing)	punt	n(sing)	False
F_M1_2_024	niet	niet	adv(neg)	niet	adv(neg)	False
F_M1_2_024	gehit	geheet	v(participle,past)	geheet	v(participle,past)	False

F_M1_2_025	in	in	adp()	in	adp()	False
F_M1_2_025	gheene	geen	pron(indef)	geen	pron(indef)	False
F_M1_2_025	baelgye	baljuw	n(sing)	baljuw	n(sing)	False

F_M1_2_026	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
F_M1_2_026	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
F_M1_2_026	leet	leed	adj()	leed	adj()	False
F_M1_2_026	dat	dat	conj(subord)	dat	conj(subord)	False
F_M1_2_026	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
F_M1_2_026	waer	zijn	adj()	zijn	adj()	False
F_M1_2_026	lye	lijden	v(fin,pres,lex)	lijden	v(fin,pres,lex)	False

F_M1_3_027	laet	laat	v(fin,pres,aux_cop)	laat	v(fin,pres,aux_cop)	False
F_M1_3_027	ons	ons	pron(pers,1,plu)	ons	pron(pers,1,plu)	False
F_M1_3_027	merten	martinus	n(prop)	martinus	n(prop)	False
F_M1_3_027	ouer	over	adp()	over	adp()	False
F_M1_3_027	een	een	art(indef)	een	art(indef)	False

F_M1_3_028	hier	hier	pronadv(dem)	hier	pronadv(dem)	False
F_M1_3_028	af	af	pronadv(prep)	af	pronadv(prep)	False
F_M1_3_028	spreken	spreken	v(fin,pres,lex)	spreken	v(fin,pres,lex)	False
F_M1_3_028	onder	onder	adp()	onder	adp()	False
F_M1_3_028	ons	wij	pron(pers,1,plu)	wij	pron(pers,1,plu)	False
F_M1_3_028	tween	twee	num(card)	twee	num(card)	False

F_M1_3_029	in	in	adp()	in	adp()	False
F_M1_3_029	dit	dit	pron(dem)	dit	pron(dem)	False
F_M1_3_029	dyaloge	de+ialog	n(sing)	de+ialog	n(sing)	False

F_M1_3_030	wanen	wanen	adv(inter)	wanen	adv(inter)	False
F_M1_3_030	quam	komen	v(fin,past,lex)	komen	v(fin,past,lex)	False
F_M1_3_030	ons	wij	pron(pers,1,plu)	wij	pron(pers,1,plu)	False
F_M1_3_030	desen	deze	pron(dem)	deze	pron(dem)	False
F_M1_3_030	ween	ween	adj()	ween	adj()	False

F_M1_3_031	die	die	pron(rel)	die	pron(rel)	False
F_M1_3_031	wilen	wijlen	adv(gener)	wijlen	adv(gener)	False
F_M1_3_031	so	zo	adv(gener)	zo	adv(gener)	False
F_M1_3_031	onweert	onwaard	adj()	onwaard	adj()	False
F_M1_3_031	scheen	schijnen	v(fin,past,aux_cop)	schijnen	v(fin,past,aux_cop)	False

F_M1_3_032	ende	en	conj(coord)	en	conj(coord)	False
F_M1_3_032	nu	nu	adv(dem)	nu	adv(dem)	False
F_M1_3_032	sit	zitten	v(imp)	zitten	v(imp)	False
F_M1_3_032	dus	dus	adv(dem)	dus	adv(dem)	False
F_M1_3_032	hoghe	hoog	adj()	hoog	adj()	False

F_M1_3_033	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
F_M1_3_033	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
F_M1_3_033	vraghen	vragen	v(infin)	vragen	v(infin)	False
F_M1_3_033	ende	en	conj(coord)	en	conj(coord)	False
F_M1_3_033	vleen	vlieden	v(infin)	vlieden	v(infin)	False

F_M1_3_034	antwoirt	antwoorden	v(fin,pres,lex)	antwoorden	v(fin,pres,lex)	False
F_M1_3_034	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
F_M1_3_034	ia	ja	interj()	ja	interj()	False
F_M1_3_034	oft	of	conj(coord)	of	conj(coord)	False
F_M1_3_034	neen	neen	interj()	neen	interj()	False

F_M1_3_035	van	van	adp()	van	adp()	False
F_M1_3_035	dat	dat	conj(subord)	dat	conj(subord)	False
F_M1_3_035	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
F_M1_3_035	dy	du	pron(pers,2,sing)	du	pron(pers,2,sing)	False
F_M1_3_035	betoeghe	betogen	v(fin,past,lex)	betogen	v(fin,past,lex)	False

F_M1_3_036	ledicheyt	ledigheid	n(sing)	ledigheid	n(sing)	False
F_M1_3_036	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
F_M1_3_036	vrome	vroom	n(sing)	vroom	n(sing)	False
F_M1_3_036	gheen	geen	pron(indef)	geen	pron(indef)	False

F_M1_3_037	arbeyt	arbeid	n(sing)	arbeid	n(sing)	False
