line_id	form	lemma	pos	corr_lemma	corr_pos	damage
L_M1_1_001	waphene	wapen	n(sing)	wapen	n(sing)	False
L_M1_1_001	merten	martinus	n(prop)	martinus	n(prop)	False
L_M1_1_001	hoe	hoe	adv(inter)	hoe	adv(inter)	False
L_M1_1_001	saelt	het+zullen	pron(pers,3,sing)+v(fin,pres,aux_cop)	het+zullen	pron(pers,3,sing)+v(fin,pres,aux_cop)	False
L_M1_1_001	gaen	gaan	v(infin)	gaan	v(infin)	False

L_M1_1_002	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
L_M1_1_002	dese	deze	pron(dem)	deze	pron(dem)	False
L_M1_1_002	werelt	wereld	n(sing)	wereld	n(sing)	False
L_M1_1_002	lange	lang	adv(gener)	lang	adv(gener)	False
L_M1_1_002	staen	staan	v(infin)	staan	v(infin)	False

L_M1_1_003	in	in	adp()	in	adp()	False
L_M1_1_003	dus	dus	adv(dem)	dus	adv(dem)	False
L_M1_1_003	crancken	krank	adj()	krank	adj()	False
L_M1_1_003	loeue	lof	n(sing)	lof	n(sing)	False

L_M1_1_004	soe	zo	adv(resum)	zo	adv(resum)	False
L_M1_1_004	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
L_M1_1_004	mijn	mijn	pron(poss)	mijn	pron(poss)	False
L_M1_1_004	vrouwe	vrouw	n(sing)	vrouw	n(sing)	False
L_M1_1_004	veren	vrouw	n(sing)	vrouw	n(sing)	False
L_M1_1_004	saen	zaan	adv(gener)	zaan	adv(gener)	False

L_M1_1_005	sonder	zonder	adp()	zonder	adp()	False
L_M1_1_005	twiuel	twijfel	n(sing)	twijfel	n(sing)	False
L_M1_1_005	ende	en	conj(coord)	en	conj(coord)	False
L_M1_1_005	waen	waan	n(sing)	waan	n(sing)	False

L_M1_1_006	rumen	ruimen	v(infin)	ruimen	v(infin)	False
L_M1_1_006	der	de	art(def)	de	art(def)	False
L_M1_1_006	heren	heer	n(plu)	heer	n(plu)	False
L_M1_1_006	houe	hof	n(sing)	hof	n(sing)	False

L_M1_1_007	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
L_M1_1_007	sie	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
L_M1_1_007	den	de	art(def)	de	art(def)	False
L_M1_1_007	scalcken	schalk	n(plu)	schalk	n(plu)	False
L_M1_1_007	wel	wel	adv(gener)	wel	adv(gener)	False
L_M1_1_007	ontfaen	ontvangen	v(participle,past)	ontvangen	v(participle,past)	False

L_M1_1_008	die	die	pron(rel)	die	pron(rel)	False
L_M1_1_008	de	de	art(def)	de	art(def)	False
L_M1_1_008	heren	heer	n(plu)	heer	n(plu)	False
L_M1_1_008	connen	kunnen	v(fin,pres,aux_cop)	kunnen	v(fin,pres,aux_cop)	False
L_M1_1_008	dwaen	dwaan	v(infin)	dwaan	v(infin)	False

L_M1_1_009	ende	en	conj(coord)	en	conj(coord)	False
L_M1_1_009	plucken	plukken	n(plu)	plukken	n(plu)	False
L_M1_1_009	vanden	van+de	adp()+art(def)	van+de	adp()+art(def)	False
L_M1_1_009	stoeue	stefanus	n(sing)	stefanus	n(sing)	False

L_M1_1_010	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
L_M1_1_010	sie	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
L_M1_1_010	den	de	art(def)	de	art(def)	False
L_M1_1_010	gherechten	gerecht	n(plu)	gerecht	n(plu)	False
L_M1_1_010	slaen	slaan	v(infin)	slaan	v(infin)	False

L_M1_1_011	beide	beide	num(indef)	beide	num(indef)	False
L_M1_1_011	bespotten	bespotten	v(infin)	bespotten	v(infin)	False
L_M1_1_011	ende	en	conj(coord)	en	conj(coord)	False
L_M1_1_011	vaen	vangen	v(infin)	vangen	v(infin)	False

L_M1_1_012	alse	als	conj(subord)	als	conj(subord)	False
