line_id	form	lemma	pos	corr_lemma	corr_pos	damage
B_M1_1_001	waphene	wapen	v(infin)	wapen	v(infin)	False
B_M1_1_001	martin	martin	n(prop)	martin	n(prop)	False
B_M1_1_001	hoe	hoe	adv(inter)	hoe	adv(inter)	False
B_M1_1_001	salt	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	False
B_M1_1_001	gaen	gaan	v(infin)	gaan	v(infin)	False

B_M1_1_002	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
B_M1_1_002	de	de	art(def)	de	art(def)	False
B_M1_1_002	werelt	wereld	n(sing)	wereld	n(sing)	False
B_M1_1_002	yet	iet	pron(indef)	iet	pron(indef)	False
B_M1_1_002	lang	lang	adj()	lang	adj()	False
B_M1_1_002	staen	staan	v(infin)	staan	v(infin)	False

B_M1_1_003	in	in	adp()	in	adp()	False
B_M1_1_003	dus	dus	adv(dem)	dus	adv(dem)	False
B_M1_1_003	crancken	krank	adj()	krank	adj()	False
B_M1_1_003	loue	lof	n(sing)	lof	n(sing)	False

B_M1_1_004	so	zo	adv(resum)	zo	adv(resum)	False
B_M1_1_004	moet	moeten	v(fin,pres,aux_cop)	moeten	v(fin,pres,aux_cop)	False
B_M1_1_004	mijn	mijn	pron(poss)	mijn	pron(poss)	False
B_M1_1_004	vrauwe	vrouw	n(sing)	vrouw	n(sing)	False
B_M1_1_004	ere	eer	n(sing)	eer	n(sing)	False
B_M1_1_004	zaen	zaan	n(sing)	zaan	n(sing)	False

B_M1_1_005	sonder	zonder	adp()	zonder	adp()	False
B_M1_1_005	twiuel	twijfel	n(sing)	twijfel	n(sing)	False
B_M1_1_005	ende	en	conj(coord)	en	conj(coord)	False
B_M1_1_005	waen	waan	n(sing)	waan	n(sing)	False

B_M1_1_006	rumen	ruimen	v(infin)	ruimen	v(infin)	False
B_M1_1_006	heren	heer	n(sing)	heer	n(sing)	False
B_M1_1_006	houe	hof	n(sing)	hof	n(sing)	False

B_M1_1_007	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
B_M1_1_007	sie	zien	pron(pers,3,plu)	zien	pron(pers,3,plu)	False
B_M1_1_007	die	de	art(def)	de	art(def)	False
B_M1_1_007	valsche	vals	adj()	vals	adj()	False
B_M1_1_007	wel	wel	adv(gener)	wel	adv(gener)	False
B_M1_1_007	ontfaen	ontvangen	v(participle,past)	ontvangen	v(participle,past)	False

B_M1_1_008	die	die	pron(rel)	die	pron(rel)	False
B_M1_1_008	de	de	art(def)	de	art(def)	False
B_M1_1_008	heren	heer	n(plu)	heer	n(plu)	False
B_M1_1_008	connen	kunnen	v(fin,pres,aux_cop)	kunnen	v(fin,pres,aux_cop)	False
B_M1_1_008	doerstaen	doorsten	v(infin)	doorsten	v(infin)	False

B_M1_1_009	ende	en	conj(coord)	en	conj(coord)	False
B_M1_1_009	plocken	plukken	v(infin)	plukken	v(infin)	False
B_M1_1_009	vanden	van+de	adp()+art(def)	van+de	adp()+art(def)	False
B_M1_1_009	stoue	stoof	n(sing)	stoof	n(sing)	False

B_M1_1_010	ende	en	conj(coord)	en	conj(coord)	False
B_M1_1_010	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
