line_id	form	lemma	pos	corr_lemma	corr_pos	damage
W_M3_1_001	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
W_M3_1_001	mane	manen	v(fin,pres,lex)	manen	v(fin,pres,lex)	False
W_M3_1_001	mannen	man	n(plu)	man	n(plu)	False
W_M3_1_001	metten	de+met	adp()+art(def)	de+met	adp()+art(def)	False
W_M3_1_001	wiuen	wijf	n(plu)	wijf	n(plu)	False

W_M3_1_002	die	die	pron(rel)	die	pron(rel)	False
W_M3_1_002	dit	dit	pron(dem)	dit	pron(dem)	False
W_M3_1_002	gedichte	gedicht	n(sing)	gedicht	n(sing)	False
W_M3_1_002	lesen	lezen	v(fin,pres,lex)	lezen	v(fin,pres,lex)	False
W_M3_1_002	ende	en	conj(coord)	en	conj(coord)	False
W_M3_1_002	scriuen	schrijven	v(fin,pres,lex)	schrijven	v(fin,pres,lex)	False

W_M3_1_003	op	op	adp()	op	adp()	False
W_M3_1_003	ten	de	adp()+art(def)	de	adp()+art(def)	False
W_M3_1_003	hoechsten	hoogst	adj()	hoogst	adj()	False
W_M3_1_003	ban	ban	n(sing)	ban	n(sing)	False

W_M3_1_004	dat	dat	conj(subord)	dat	conj(subord)	False
W_M3_1_004	sijt	het+zij	pron(pers,3,sing)+pron(pers,3,sing)	het+zij	pron(pers,3,sing)+pron(pers,3,sing)	False
W_M3_1_004	reene	rein	adj()	rein	adj()	False
W_M3_1_004	laten	laten	v(fin,pres,aux_cop)	laten	v(fin,pres,aux_cop)	False
W_M3_1_004	bliuen	blijven	v(infin)	blijven	v(infin)	False

W_M3_1_005	ende	en	conj(coord)	en	conj(coord)	False
W_M3_1_005	siere	er+zij	pronadv(pers)+pron(pers,3,plu)	er+zij	pronadv(pers)+pron(pers,3,plu)	False
W_M3_1_005	niet	niet	adv(neg)	niet	adv(neg)	False
W_M3_1_005	in	in	pronadv(prep)	in	pronadv(prep)	False
W_M3_1_005	en	ne	adv(neg)	ne	adv(neg)	False
W_M3_1_005	driuen	drijven	v(infin)	drijven	v(infin)	False

W_M3_1_006	woert	woord	n(sing)	woord	n(sing)	False
W_M3_1_006	lettere	letter	n(sing)	letter	n(sing)	False
W_M3_1_006	af	af	pronadv(prep)	af	pronadv(prep)	False
W_M3_1_006	ochte	of	conj(coord)	of	conj(coord)	False
W_M3_1_006	an	aan	adp()	aan	adp()	False

W_M3_1_007	doen	doen	v(infin)	doen	v(infin)	False
W_M3_1_007	sijt	zij+het	pron(pers,3,sing)+pron(pers,3,sing)	zij+het	pron(pers,3,sing)+pron(pers,3,sing)	False
W_M3_1_007	oec	ook	adv(gener)	ook	adv(gener)	False
W_M3_1_007	hen	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
W_M3_1_007	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
W_M3_1_007	becliuen	beklijven	v(infin)	beklijven	v(infin)	False

W_M3_1_008	mijn	mijn	pron(poss)	mijn	pron(poss)	False
W_M3_1_008	ban	ban	n(sing)	ban	n(sing)	False
