line_id	form	lemma	pos	corr_lemma	corr_pos	damage
Y_M1_1_001	waphene	wapen	n(sing)	wapen	n(sing)	False
Y_M1_1_001	martijn	martinus	n(prop)	martinus	n(prop)	False
Y_M1_1_001	hoe	hoe	adv(inter)	hoe	adv(inter)	False
Y_M1_1_001	saelt	het+zullen	pron(pers,3,sing)+v(fin,pres,aux_cop)	het+zullen	pron(pers,3,sing)+v(fin,pres,aux_cop)	False
Y_M1_1_001	gaen	gaan	v(infin)	gaan	v(infin)	False

Y_M1_1_002	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
Y_M1_1_002	dese	deze	pron(dem)	deze	pron(dem)	False
Y_M1_1_002	weerelt	wereld	n(sing)	wereld	n(sing)	False
Y_M1_1_002	langhe	lang	adv(gener)	lang	adv(gener)	False
Y_M1_1_002	staen	staan	v(infin)	staan	v(infin)	False

Y_M1_1_003	in	in	adp()	in	adp()	False
Y_M1_1_003	dus	dus	adv(dem)	dus	adv(dem)	False
Y_M1_1_003	crancken	krank	adj()	krank	adj()	False
Y_M1_1_003	loue	lof	n(sing)	lof	n(sing)	False

Y_M1_1_004	soe	zo	adv(resum)	zo	adv(resum)	False
Y_M1_1_004	moet	moeten	v(fin,pres,aux_cop)	moeten	v(fin,pres,aux_cop)	False
Y_M1_1_004	mijn	mijn	pron(poss)	mijn	pron(poss)	False
Y_M1_1_004	vrouwe	vrouw	n(sing)	vrouw	n(sing)	False
Y_M1_1_004	eere	eer	n(sing)	eer	n(sing)	False
Y_M1_1_004	saen	zaan	adv(gener)	zaan	adv(gener)	False

Y_M1_1_005	sonder	zonder	adp()	zonder	adp()	False
Y_M1_1_005	twiuel	twijfel	n(sing)	twijfel	n(sing)	False
Y_M1_1_005	ende	en	conj(coord)	en	conj(coord)	False
Y_M1_1_005	waen	waan	n(sing)	waan	n(sing)	False

Y_M1_1_006	rumen	ruimen	v(infin)	ruimen	v(infin)	False
Y_M1_1_006	der	de	art(def)	de	art(def)	False
Y_M1_1_006	heeren	heer	n(plu)	heer	n(plu)	False
Y_M1_1_006	houe	hof	n(sing)	hof	n(sing)	False

Y_M1_1_007	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
Y_M1_1_007	sie	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
Y_M1_1_007	den	de	art(def)	de	art(def)	False
Y_M1_1_007	scalcken	schalk	n(plu)	schalk	n(plu)	False
Y_M1_1_007	wel	wel	adv(gener)	wel	adv(gener)	False
