line_id	form	lemma	pos	corr_lemma	corr_pos	damage
Ge_M1_65_834	dat	dat	art(def)	dat	art(def)	True
Ge_M1_65_834	torment	torment	n(sing)	torment	n(sing)	True

Ge_M1_65_835	en	en	adv(neg)	en	adv(neg)	True
Ge_M1_65_835	nutte	nut	adj()	nut	adj()	True
Ge_M1_65_835	te	te	adp()	te	adp()	True
Ge_M1_65_835	rechte	recht	n(sing)	recht	n(sing)	True

Ge_M1_65_836	erst	eerst	adv(gener)	eerst	adv(gener)	True
Ge_M1_65_836	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	True
Ge_M1_65_836	te	te	adp()	te	adp()	True
Ge_M1_65_836	vlien	vlieden	v(infin)	vlieden	v(infin)	True
Ge_M1_65_836	tserpent	het+serpent	art(def)+n(sing)	het+serpent	art(def)+n(sing)	True

Ge_M1_65_837	n	n	conj(coord)	n	conj(coord)	True
Ge_M1_65_837	te	te	adp()	te	adp()	True
Ge_M1_65_837	wandelen	wandelen	v(infin)	wandelen	v(infin)	True
Ge_M1_65_837	daer	daar	pronadv(dem)	daar	pronadv(dem)	True
Ge_M1_65_837	omtrent	omtrent	pronadv(prep)	omtrent	pronadv(prep)	True

Ge_M1_65_838	atti	haten+hij	pron(pers,2,sing)+adp()	haten+hij	pron(pers,2,sing)+adp()	True
Ge_M1_65_838	niet	niet	adv(neg)	niet	adv(neg)	True
Ge_M1_65_838	en	ne	adv(neg)	ne	adv(neg)	True
Ge_M1_65_838	beulecte	bevlekken	v(fin,past,lex)	bevlekken	v(fin,past,lex)	True

Ge_M1_65_839	rijcheit	rijkheid	n(sing)	rijkheid	n(sing)	False
Ge_M1_65_839	maect	maken	v(fin,pres,lex)	maken	v(fin,pres,lex)	False
Ge_M1_65_839	j	een	art(indef)	een	art(indef)	False
Ge_M1_65_839	so	zo	adv(gener)	zo	adv(gener)	False
Ge_M1_65_839	blint	blind	adj()	blind	adj()	False

Ge_M1_65_840	datti	dat+hij	conj(subord)+pron(pers,3,sing)	dat+hij	conj(subord)+pron(pers,3,sing)	False
Ge_M1_65_840	gode	god	n(prop)	god	n(prop)	False
Ge_M1_65_840	niet	niet	adv(neg)	niet	adv(neg)	False
Ge_M1_65_840	en	ne	adv(neg)	ne	adv(neg)	False
Ge_M1_65_840	kint	kind	v(fin,pres,lex)	kind	v(fin,pres,lex)	False

Ge_M1_65_841	dus	dus	adv(dem)	dus	adv(dem)	False
Ge_M1_65_841	sceetmen	men+scheten	pron(indef)+v(fin,pres,lex)	men+scheten	pron(indef)+v(fin,pres,lex)	False
Ge_M1_65_841	vanden	de+van	adp()+art(def)	de+van	adp()+art(def)	False
Ge_M1_65_841	lichte	licht	n(sing)	licht	n(sing)	False

Ge_M1_65_842	ende	en	conj(coord)	en	conj(coord)	False
Ge_M1_65_842	wort	worden	v(fin,pres,aux_cop)	worden	v(fin,pres,aux_cop)	False
Ge_M1_65_842	van	van	adp()	van	adp()	False
Ge_M1_65_842	leuen	leven	n(sing)	leven	n(sing)	False
Ge_M1_65_842	j	1	num(card)	1	num(card)	False
Ge_M1_65_842	rent	rente	n(sing)	rente	n(sing)	False

Ge_M1_65_843	ende	en	conj(coord)	en	conj(coord)	False
Ge_M1_65_843	valt	vallen	v(fin,pres,lex)	vallen	v(fin,pres,lex)	False
Ge_M1_65_843	int	het+in	art(def)+adp()	het+in	art(def)+adp()	False
Ge_M1_65_843	thelle	tal	n(sing)	tal	n(sing)	False
Ge_M1_65_843	torment	torment	n(sing)	torment	n(sing)	False

Ge_M1_65_844	dus	dus	adv(dem)	dus	adv(dem)	False
Ge_M1_65_844	brincti	brengen+gij	v(fin,past,lex)+pron(pers,3,sing)	brengen+gij	v(fin,past,lex)+pron(pers,3,sing)	False
Ge_M1_65_844	indie	de+in	adp()+art(def)	de+in	adp()+art(def)	False
Ge_M1_65_844	hechte	hecht	n(sing)	hecht	n(sing)	False

Ge_M1_65_845	die	de	art(def)	de	art(def)	False
Ge_M1_65_845	duuel	duivel	n(sing)	duivel	n(sing)	False
Ge_M1_65_845	sine	zijn	pron(poss)	zijn	pron(poss)	False
