line_id	token	lemma	pos	
A_M1_1_001	vvaphene	wapen	interj()	
A_M1_1_001	martin	martijn	n(prop)	
A_M1_1_001	hoe	hoe	adv(inter)	
A_M1_1_001	salt	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
A_M1_1_001	gaen	gaan	v(infin)	
A_M1_1_002	sal	zullen	v(fin,pres,aux_cop)	
A_M1_1_002	die	de	art(def)	
A_M1_1_002	weerelt	wereld	n(sing)	
A_M1_1_002	hiet	iet	adv(gener)	
A_M1_1_002	langhe	lang	adv(gener)	
A_M1_1_002	staen	staan	v(infin)	
A_M1_1_003	in	in	adp()	
A_M1_1_003	dus	dus	adv(dem)	
A_M1_1_003	crancken	krank	adj()	
A_M1_1_003	loue	lof	n(sing)	
A_M1_1_004	so	zo	adv(resum)	
A_M1_1_004	moet	moeten	v(fin,pres,aux_cop)	
A_M1_1_004	vrouwe	vrouw	n(sing)	
A_M1_1_004	vereere	vrouw+eer	n(sing)+n(sing)	
A_M1_1_004	saen	zaan	adv(gener)	
A_M1_1_005	sonder	zonder	adp()	
A_M1_1_005	twifel	twijfel	n(sing)	
A_M1_1_005	ende	en	conj(coord)	
A_M1_1_005	waen	waan	n(sing)	
A_M1_1_006	rumen	ruimen	v(infin)	
A_M1_1_006	heeren	heer	n(plu)	
A_M1_1_006	houe	hof	n(sing)	
A_M1_1_007	ic	ik	pron(pers,1,sing)	
A_M1_1_007	zie	zien	v(fin,pres,lex)	
A_M1_1_007	den	de	art(def)	
A_M1_1_007	valschen	vals	adj()	
A_M1_1_007	wel	wel	adv(gener)	
A_M1_1_007	ontfaen	ontvangen	v(infin)	
A_M1_1_008	die	die	pron(rel)	
A_M1_1_008	de	de	art(def)	
A_M1_1_008	heeren	heer	n(plu)	
A_M1_1_008	conen	kunnen	v(fin,pres,aux_cop)	
A_M1_1_008	dwaen	dwaan	v(infin)	
A_M1_1_009	ende	en	conj(coord)	
A_M1_1_009	plucken	plukken	v(infin)	
A_M1_1_009	vanden	van+de	adp()+art(def)	
A_M1_1_009	stoue	stoof	n(sing)	
A_M1_1_010	ende	en	conj(coord)	
A_M1_1_010	ic	ik	pron(pers,1,sing)	
A_M1_1_010	zie	zien	v(fin,pres,lex)	
A_M1_1_010	den	de	art(def)	
