line_id	form	lemma	pos	corr_lemma	corr_pos	damage
Br_M1_35_454	soe	zo	adv(dem)	zo	adv(dem)	False
Br_M1_35_454	sere	zeer	adv(gener)	zeer	adv(gener)	False
Br_M1_35_454	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
Br_M1_35_454	wane	wanen	v(fin,pres,lex)	wanen	v(fin,pres,lex)	False
Br_M1_35_454	beduwen	beduwen	v(participle,past)	beduwen	v(participle,past)	False

Br_M1_35_455	achter	achter	adv(gener)	achter	adv(gener)	False
Br_M1_35_455	maken	maken	v(fin,pres,lex)	maken	v(fin,pres,lex)	False
Br_M1_35_455	si	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
Br_M1_35_455	die	de	art(def)	de	art(def)	False
Br_M1_35_455	mouwen	mouw	n(plu)	mouw	n(plu)	False

Br_M1_36_456	iacop	jacob	n(prop)	jacob	n(prop)	False
Br_M1_36_456	du	du	pron(pers,2,sing)	du	pron(pers,2,sing)	False
Br_M1_36_456	heues	hebben	v(fin,pres,aux_cop)	hebben	v(fin,pres,aux_cop)	False
Br_M1_36_456	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
Br_M1_36_456	geuraecht	vragen	v(participle,past)	vragen	v(participle,past)	False

Br_M1_36_457	jc	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
Br_M1_36_457	antwoorde	antwoorden	v(fin,past,lex)	antwoorden	v(fin,past,lex)	False
Br_M1_36_457	ende	en	conj(coord)	en	conj(coord)	False
Br_M1_36_457	verdraecht	verdragen	v(fin,pres,lex)	verdragen	v(fin,pres,lex)	False

Br_M1_36_458	nv	nu	adv(dem)	nu	adv(dem)	False
Br_M1_36_458	willic	ik+willen	pron(pers,1,sing)+v(fin,pres,aux_cop)	ik+willen	pron(pers,1,sing)+v(fin,pres,aux_cop)	False
Br_M1_36_458	merten	martin	n(prop)	martin	n(prop)	False
Br_M1_36_458	vragen	vragen	v(infin)	vragen	v(infin)	False

Br_M1_36_459	waenstu	du+wanen	pron(pers,2,sing)+v(fin,pres,lex)	du+wanen	pron(pers,2,sing)+v(fin,pres,lex)	False
Br_M1_36_459	dat	dat	conj(subord)	dat	conj(subord)	False
Br_M1_36_459	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
Br_M1_36_459	wel	wel	adv(gener)	wel	adv(gener)	False
Br_M1_36_459	behaecht	behagen	v(fin,pres,lex)	behagen	v(fin,pres,lex)	False

Br_M1_36_460	dattu	dat+du	conj(subord)+pron(pers,2,sing)	dat+du	conj(subord)+pron(pers,2,sing)	False
Br_M1_36_460	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
Br_M1_36_460	dus	dus	adv(dem)	dus	adv(dem)	False
Br_M1_36_460	heues	hebben	v(fin,pres,aux_cop)	hebben	v(fin,pres,aux_cop)	False
Br_M1_36_460	geiaecht	jagen	v(participle,past)	jagen	v(participle,past)	False

Br_M1_36_461	neent	neen+het	adv(neg)	neen+het	adv(neg)	False
Br_M1_36_461	wistict	weestig	n(sing)	weestig	n(sing)	False
Br_M1_36_461	wien	wie	pron(inter)	wie	pron(inter)	False
Br_M1_36_461	clagen	klagen	v(infin)	klagen	v(infin)	False

Br_M1_36_462	merten	martinus	n(prop)	martinus	n(prop)	False
Br_M1_36_462	wat	wat	pron(inter)	wat	pron(inter)	False
Br_M1_36_462	hulpt	hulp	n(sing)	hulp	n(sing)	False
Br_M1_36_462	geclaecht	klagen	v(participle,past)	klagen	v(participle,past)	False

Br_M1_36_463	vraecht	vragen	v(fin,pres,lex)	vragen	v(fin,pres,lex)	False
Br_M1_36_463	dattu	dat+du	conj(subord)+pron(pers,2,sing)	dat+du	conj(subord)+pron(pers,2,sing)	False
Br_M1_36_463	wilt	willen	v(fin,pres,aux_cop)	willen	v(fin,pres,aux_cop)	False
Br_M1_36_463	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
Br_M1_36_463	waecht	wachten	v(fin,pres,lex)	wachten	v(fin,pres,lex)	False

Br_M1_36_464	jc	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
Br_M1_36_464	wilt	willen	v(fin,pres,aux_cop)	willen	v(fin,pres,aux_cop)	False
Br_M1_36_464	al	al	num(indef)	al	num(indef)	False
Br_M1_36_464	verdragen	verdragen	v(infin)	verdragen	v(infin)	False

Br_M1_36_465	god	god	n(sing)	god	n(sing)	False
Br_M1_36_465	hulpe	hulp	n(sing)	hulp	n(sing)	False
Br_M1_36_465	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
Br_M1_36_465	want	want	conj(subord)	want	conj(subord)	False
Br_M1_36_465	hi	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
Br_M1_36_465	vermaecht	vermogen	v(fin,pres,lex)	vermogen	v(fin,pres,lex)	False

Br_M1_36_466	dat	dat	conj(subord)	dat	conj(subord)	False
Br_M1_36_466	mijn	mijn	pron(poss)	mijn	pron(poss)	False
Br_M1_36_466	sin	zin	n(sing)	zin	n(sing)	False
Br_M1_36_466	soe	zo	adv(resum)	zo	adv(resum)	False
