line_id	form	lemma	pos	corr_lemma	corr_pos	damage


Ant_M1_47_608	ijt	iet	pron(indef)	iet	pron(indef)	True








Ant_M1_48_616	jn	in	adp()	in	adp()	True










Ant_M1_49_626	t	te	pron(pers,3,sing)	te	pron(pers,3,sing)	True


















Ant_M1_50_644	soe	zij	adv(resum)	zij	adv(resum)	True
Ant_M1_50_644	viel	vallen	v(fin,past,lex)	vallen	v(fin,past,lex)	True

Ant_M1_50_645	dus	dus	adv(dem)	dus	adv(dem)	True
Ant_M1_50_645	moch	mogen	v(fin,pres,aux_cop)	mogen	v(fin,pres,aux_cop)	True

Ant_M1_50_646	ende	en	conj(coord)	en	conj(coord)	True
Ant_M1_50_646	clare	klaar	adj()	klaar	adj()	True

Ant_M1_50_647	miltheit	mildheid	n(sing)	mildheid	n(sing)	True
Ant_M1_50_647	h	hij	n(sing)	hij	n(sing)	True

Ant_M1_50_648	vrecheit	vrekheid	n(sing)	vrekheid	n(sing)	True
Ant_M1_50_648	l	v	num(card)	v	num(card)	True

Ant_M1_50_649	dit	dit	pron(dem)	dit	pron(dem)	True
Ant_M1_50_649	proeu	proef	n(sing)	proef	n(sing)	True

Ant_M1_50_650	die	de	art(def)	de	art(def)	True
Ant_M1_50_650	winn	win	n(plu)	win	n(plu)	True

Ant_M1_51_651	iacob	jacob	n(prop)	jacob	n(prop)	True
Ant_M1_51_651	e	en	conj(coord)	en	conj(coord)	True

Ant_M1_51_652	als	als	conj(subord)	als	conj(subord)	True
Ant_M1_51_652	d	d	n(plu)	d	n(plu)	True

Ant_M1_51_653	van	van	adp()	van	adp()	True
Ant_M1_51_653	gher	gerhard	n(prop)	gerhard	n(prop)	True

Ant_M1_51_654	doet	doen	n(sing)	doen	n(sing)	True
Ant_M1_51_654	der	de	art(def)	de	art(def)	True
Ant_M1_51_654	og	of	n(sing)	of	n(sing)	True

Ant_M1_51_655	oft	of	conj(coord)	of	conj(coord)	True
Ant_M1_51_655	comt	komen	v(fin,pres,lex)	komen	v(fin,pres,lex)	True

Ant_M1_51_656	dit	dit	pron(dem)	dit	pron(dem)	True
Ant_M1_51_656	euel	euvel	n(sing)	euvel	n(sing)	True
Ant_M1_51_656	t	tot	pron(pers,3,sing)	tot	pron(pers,3,sing)	True

Ant_M1_51_657	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	True
Ant_M1_51_657	liet	laten	v(fin,past,lex)	laten	v(fin,past,lex)	True
Ant_M1_51_657	m	m	num(card)	m	num(card)	True

Ant_M1_51_658	ende	en	conj(coord)	en	conj(coord)	True
Ant_M1_51_658	ics	het+ik	pron(pers,3,sing)+pron(pers,1,sing)	het+ik	pron(pers,3,sing)+pron(pers,1,sing)	True
Ant_M1_51_658	vr	uw	pron(pers,3,sing)	uw	pron(pers,3,sing)	True

Ant_M1_51_659	maect	maken	v(fin,pres,lex)	maken	v(fin,pres,lex)	True
Ant_M1_51_659	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	True

Ant_M1_51_660	mijn	mijn	pron(poss)	mijn	pron(poss)	True
