token	lemma	pos
vvaphene	wapen	interj()	
martin	martijn	n(prop)	
hoe	hoe	adv(inter)	
salt	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
gaen	gaan	v(infin)

sal	zullen	v(fin,pres,aux_cop)	
die	de	art(def)	
weerelt	wereld	n(sing)	
hiet	iet	adv(gener)	
langhe	lang	adv(gener)	
staen	staan	v(infin)

in	in	adp()	
dus	dus	adv(dem)	
crancken	krank	adj()	
loue	lof	n(sing)

so	zo	adv(resum)	
moet	moeten	v(fin,pres,aux_cop)	
vrouwe	vrouw	n(sing)	
vereere	vrouw+eer	n(sing)+n(sing)	
saen	zaan	adv(gener)

sonder	zonder	adp()	
twifel	twijfel	n(sing)	
ende	en	conj(coord)	
waen	waan	n(sing)

rumen	ruimen	v(infin)	
heeren	heer	n(plu)	
houe	hof	n(sing)

ic	ik	pron(pers,1,sing)	
zie	zien	v(fin,pres,lex)	
den	de	art(def)	
valschen	vals	adj()	
wel	wel	adv(gener)	
ontfaen	ontvangen	v(infin)

die	die	pron(rel)	
de	de	art(def)	
heeren	heer	n(plu)	
conen	kunnen	v(fin,pres,aux_cop)	
dwaen	dwaan	v(infin)

ende	en	conj(coord)	
plucken	plukken	v(infin)	
vanden	van+de	adp()+art(def)	
stoue	stoof	n(sing)

ende	en	conj(coord)	
ic	ik	pron(pers,1,sing)	
zie	zien	v(fin,pres,lex)	
den	de	art(def)	
rechten	recht	adj()	
slaen	slaan	v(infin)

beede	beide	num(indef)	
bespotten	bespotten	v(infin)	
ende	en	conj(coord)	
beuaen	bevangen	v(infin)

alse	als	conj(subord)	
die	de	art(def)	
meese	mees	n(sing)	
in	in	adp()	
de	de	art(def)	
cloue	kloof	n(sing)

rechts	rechts	adv(gener)	
offene	of+zij	conj(subord)+pron(pers,3,plu)	
god	god	n(sing)	
verscroue	verschruiven	v(fin,past,lex)

hoe	hoe	adv(inter)	
langhe	lang	adv(gener)	
sal	zullen	v(fin,pres,aux_cop)	
ghedoghen	gedogen	v(infin)	
dit	dit	pron(dem)

god	god	n(sing)	
die	die	pron(rel)	
alle	al	pron(indef)	
dinc	ding	n(plu)	
besit	bezit	v(fin,pres,lex)

in	in	adp()	
sine	zijn	pron(poss)	
heerscapie	heerschappij	n(sing)

dat	dat	conj(subord)	
die	de	art(def)	
goede	goed	n(sing)	
vleeuwet	vleeuwen	v(fin,pres,lex)	
ende	en	conj(coord)	
bit	bidden	v(fin,pres,lex)

ende	en	conj(coord)	
hem	hij	pron(pers,3,sing)	
ne	ne	adv(neg)	
doech	deugen	v(fin,pres,lex)	
no	no	conj(coord)	
dat	dat	pron(dem)	
no	no	conj(coord)	
dit	dit	pron(dem)

dat	dat	conj(subord)	
hi	hij	pron(pers,3,sing)	
hiet	iet	adv(gener)	
ghedie	gedijen	v(fin,pres,lex)

al	al	num(indef)	
varet	varen	v(fin,pres,lex)	
inden	in+de	adp()+art(def)	
helschen	hels	adj()	
pit	put	n(sing)

eist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
blaeu	blauw	adj()	
graeu	grauw	adj()	
zwart	zwart	adj()	
of	of	conj(coord)	
wit	wit	adj()

hets	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	
ghetrouwe	getrouw	adj()	
als	als	conj(subord)	
eene	een	art(indef)	
zie	zij	n(sing)

recht	recht	adj()	
man	man	n(sing)	
deluet	delven	v(fin,pres,lex)	
sonder	zonder	adp()	
spit	spit	n(sing)

hine	hij+ne	pron(pers,3,sing)+adv(neg)	
heuet	hebben	v(fin,pres,aux_cop)	
te	te	adp()	
pointe	punt	n(sing)	
niet	niet	adv(neg)	
ghehit	hitten	v(participle,past)

inne	in+ne	adp()+adv(neg)	
gheer	geen	pron(indef)	
balgye	balie	n(sing)

mi	ik	pron(pers,1,sing)	
es	zijn	v(fin,pres,aux_cop)	
leet	leed	adj()	
dat	dat	conj(subord)	
ic	ik	pron(pers,1,sing)	
waer	waar	n(sing) 	
lye	lijden	v(fin,pres,lex)

laet	laat	v(imp)	
ons	wij	pron(pers,1,plu)	
martin	martijn	n(prop)	
ouer+een	overeen	adv(gener)

hier	hier	pronadv(dem)	
af+spreken	afspreken	v(infin)	
onder	onder	adp()	
ons	wij	pron(pers,1,plu)	
tween	twee	num(card)

in	in	adp()	
dit	dit	pron(dem)	
dyaloghe	dialoog	n(sing)

wanen	wanen	adv(inter)	
dat	dat	conj(subord)	
eerst	eerst	adv(gener)	
quam	komen	v(fin,past,lex)	
die	de	art(def)	
ween	ween	n(sing)

die	die	pron(rel)	
wilen	wijlen	adv(gener)	
so	zo	adv(gener)	
onwert	onwaard	adj()	
sceen	schijnen	v(fin,past,aux_cop)

ende	en	conj(coord)	
nv	nu	adv(dem)	
sit	zitten	v(infin)	
so	zo	adv(dem)	
oghe	hoog	adj()

ic	ik	pron(pers,1,sing)	
vraghe	vragen	v(fin,pres,lex)	
hu	gij	pron(pers,2,plu)	
ende	en	conj(coord)	
vleen	vlee‘n	v(fin,pres,lex)

berecht	berichten	v(imp)	
mi	ik	pron(pers,1,sing)	
ia	ja	adv(gener)	
of	of	conj(coord)	
neen	neen	adv(neg)

van	van	adp()	
dat	dat	pron(rel)	
ic	ik	pron(pers,1,sing)	
hu	gij	pron(pers,2,plu)	
betoghe	betogen	v(fin,pres,lex)

ledichede	ledigheid	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
vrome	vroom	n(sing)	
ne+gheen	negeen	adv(neg)

aerbeit	arbeid	n(sing)	
vint	vinden	v(fin,pres,lex)	
vier	vuur	n(sing)	
inden	in+de	adp()+art(def)	
steen	steen	n(sing)

daer+bi	daarbij	pronadv(dem)	
ontsteect	ontsteken	v(fin,pres,lex)	
dat	dat	art(def)	
droghe	droge	adj()

nu	nu	adv(dem)	
spreect	spreken	v(imp)	
ende	en	conj(coord)	
ic	ik	pron(pers,1,sing)	
ghedoghe	gedogen	v(fin,pres,lex)

spreken	spreken	v(infin)	
jacop	jacob	n(prop)	
lieue	lief	adj()	
compaen	kompaan	n(prop)

waer	waar	adv(inter)	
soudic	zullen+ik	v(fin,past,aux_cop)+pron(pers,1,sing)	
dat	dat	pron(dem)	
hebben	hebben	v(infin)	
verstaen	verstaan	v(participle,past)

dat	dat	pron(rel)	
ic	ik	pron(pers,1,sing)	
daer	daar	pronadv(dem)	
toe	toe	pronadv(prep)	
dochte	deugen	v(fin,past,lex)

te	te	adp()	
verclaerne	verklaren	v(infin)	
dinen	dijn	pron(poss)	
waen	waan	n(sing)

die	die	pron(rel)	
in	in	adp()	
twifele	twijfel	n(sing)	
ware	zijn	v(fin,past,aux_cop)	
beuaen	bevangen	v(participle,past)

dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
dat	dat	conj(subord)	
ic	ik	pron(pers,1,sing)	
niet	niet	adv(neg)	
en	ne	adv(neg)	
vermochte	vermogen	v(fin,past,lex)

doch	doch	adv(gener)	
en	ne	adv(neg)	
willic	willen+ik	v(fin,pres,aux_cop)+pron(pers,1,sing)	
niet	niet	adv(neg)	
af+staen	afstaan	v(infin)

in	in	adp()	
wille	wil	n(sing)	
dine	dijn	pron(poss)	
bede	bede	n(sing)	
ontfaen	ontvangen	v(infin)

die	die	pron(rel)	
dit	dit	pron(dem)	
ane	aan	adp()	
mi	ik	pron(pers,1,sing)	
besochte	bezoeken	v(fin,past,lex)

god	god	n(sing)	
sende	zenden	v(fin,past,lex)	
mi	ik	pron(pers,1,sing)	
den	de	art(def)	
hemelschen	hemels	adj()	
traen	traan	n(sing)

ende	en	conj(coord)	
moet	moeten	v(fin,pres,aux_cop)	
mine	mijn	pron(poss)	
zinne	zin	n(sing)	
dwaen	dwaan	v(infin)

want	want	conj(subord)	
hi	hij	pron(pers,3,sing)	
mi	ik	pron(pers,1,sing)	
diere	duur	adv(gener)	
cochte	kopen	v(fin,past,lex)

ende	en	conj(coord)	
ict	ik+het	pron(pers,1,sing)+pron(pers,3,sing)	
gherne	gaarne	adv(gener)	
vulbrochte	volbrengen	v(fin,past,lex)

martin	martijn	n(prop)	
doe	toen	conj(subord)	
die	de	art(def)	
weerelt	wereld	n(sing)	
began	beginnen	v(fin,past,lex)

man	man	n(sing)	
te	te	adp()	
verheffene	verheffen	v(infin)	
bouen	boven	adp()	
man	man	n(sing)

doe	toen	adv(dem)	
sciet	scheiden	v(fin,past,lex)	
mijn	mijn	pron(poss)	
vrouwe	vrouw	n(sing)	
ver	vrouw	n(sing)	
