line_id	form	lemma	pos	corr_lemma	corr_pos	damage
D_M1_1_000	dit	dit	pron(dem)	dit	pron(dem)	False
D_M1_1_000	is	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
D_M1_1_000	wapene	wapen	n(plu)	wapen	n(plu)	False
D_M1_1_000	martijn	martin	n(prop)	martin	n(prop)	False

D_M1_1_001	wapen	wapen	n(sing)	wapen	n(sing)	False
D_M1_1_001	martijn	martinus	n(prop)	martinus	n(prop)	False
D_M1_1_001	hoe	hoe	adv(inter)	hoe	adv(inter)	False
D_M1_1_001	salt	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	False
D_M1_1_001	gaen	gaan	v(infin)	gaan	v(infin)	False

D_M1_1_002	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
D_M1_1_002	dese	deze	pron(dem)	deze	pron(dem)	False
D_M1_1_002	werelt	wereld	n(sing)	wereld	n(sing)	False
D_M1_1_002	lange	lang	adv(gener)	lang	adv(gener)	False
D_M1_1_002	staen	staan	v(infin)	staan	v(infin)	False

D_M1_1_003	in	in	adp()	in	adp()	False
D_M1_1_003	desen	deze	pron(dem)	deze	pron(dem)	False
D_M1_1_003	crancken	krank	n(sing)	krank	n(sing)	False
D_M1_1_003	gheloue	geloof	v(fin,pres,lex)	geloof	v(fin,pres,lex)	False

D_M1_1_004	soe	zo	adv(resum)	zo	adv(resum)	False
D_M1_1_004	moet	moeten	v(fin,pres,aux_cop)	moeten	v(fin,pres,aux_cop)	False
D_M1_1_004	mijn	mijn	pron(poss)	mijn	pron(poss)	False
D_M1_1_004	vrouwe	vrouw	n(sing)	vrouw	n(sing)	False
D_M1_1_004	eer	eer	adv(gener)	eer	adv(gener)	False
D_M1_1_004	saen	zaan	adv(gener)	zaan	adv(gener)	False

D_M1_1_005	sonder	zonder	adp()	zonder	adp()	False
D_M1_1_005	twiuel	twijfel	n(sing)	twijfel	n(sing)	False
D_M1_1_005	ende	en	conj(coord)	en	conj(coord)	False
