line_id	form	lemma	pos	corr_lemma	corr_pos	damage
G_M1_1_000	dit	dit	pron(dem)	dit	pron(dem)	False
G_M1_1_000	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
G_M1_1_000	dierste	de+eerst	art(def)+num(ord)	de+eerst	art(def)+num(ord)	False
G_M1_1_000	boec	boek	n(sing)	boek	n(sing)	False
G_M1_1_000	vanden	de+van	adp()+art(def)	de+van	adp()+art(def)	False
G_M1_1_000	wapen	wapen	n(plu)	wapen	n(plu)	False
G_M1_1_000	merten	martin	n(prop)	martin	n(prop)	False

G_M1_1_001	wapen	wapen	n(sing)	wapen	n(sing)	False
G_M1_1_001	merten	martinus	n(prop)	martinus	n(prop)	False
G_M1_1_001	hoe	hoe	adv(inter)	hoe	adv(inter)	False
G_M1_1_001	saelt	het+zullen	pron(pers,3,sing)+v(fin,pres,aux_cop)	het+zullen	pron(pers,3,sing)+v(fin,pres,aux_cop)	False
G_M1_1_001	gaen	gaan	v(infin)	gaan	v(infin)	False

G_M1_1_002	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
G_M1_1_002	dese	deze	pron(dem)	deze	pron(dem)	False
G_M1_1_002	werelt	wereld	n(sing)	wereld	n(sing)	False
G_M1_1_002	lange	lang	adv(gener)	lang	adv(gener)	False
G_M1_1_002	staen	staan	v(infin)	staan	v(infin)	False

G_M1_1_003	jn	in	adp()	in	adp()	False
G_M1_1_003	d	de	n(plu)	de	n(plu)	False
G_M1_1_003	crancken	krank	n(sing)	krank	n(sing)	False
G_M1_1_003	loue	love	v(fin,pres,lex)	love	v(fin,pres,lex)	False

G_M1_1_004	soe	zo	adv(resum)	zo	adv(resum)	False
G_M1_1_004	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
G_M1_1_004	mijn	mijn	pron(poss)	mijn	pron(poss)	False
G_M1_1_004	vrouwen	vrouw	n(sing)	vrouw	n(sing)	False
G_M1_1_004	vereere	vererren	adv(gener)	vererren	adv(gener)	False
G_M1_1_004	saen	zaan	adv(gener)	zaan	adv(gener)	False

G_M1_1_005	sonder	zonder	adp()	zonder	adp()	False
G_M1_1_005	twiuel	twijfel	n(sing)	twijfel	n(sing)	False
G_M1_1_005	ende	en	conj(coord)	en	conj(coord)	False
G_M1_1_005	waen	waan	n(sing)	waan	n(sing)	False

G_M1_1_006	rumen	ruimen	v(infin)	ruimen	v(infin)	False
G_M1_1_006	heren	heer	n(sing)	heer	n(sing)	False
G_M1_1_006	houe	hof	n(sing)	hof	n(sing)	False

G_M1_1_007	jc	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
G_M1_1_007	sie	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
G_M1_1_007	den	de	art(def)	de	art(def)	False
G_M1_1_007	scalken	schalk	n(prop)	schalk	n(prop)	False
G_M1_1_007	wel	wel	adv(gener)	wel	adv(gener)	False
G_M1_1_007	ontfaen	ontvangen	v(participle,past)	ontvangen	v(participle,past)	False

G_M1_1_008	die	die	pron(rel)	die	pron(rel)	False
G_M1_1_008	de	de	art(def)	de	art(def)	False
G_M1_1_008	heren	heer	n(plu)	heer	n(plu)	False
G_M1_1_008	connen	kunnen	v(fin,pres,aux_cop)	kunnen	v(fin,pres,aux_cop)	False
G_M1_1_008	dwaen	dwaan	v(infin)	dwaan	v(infin)	False

G_M1_1_009	ende	en	conj(coord)	en	conj(coord)	False
G_M1_1_009	plucken	plukken	n(plu)	plukken	n(plu)	False
G_M1_1_009	van	van	adp()	van	adp()	False
G_M1_1_009	den	de	art(def)	de	art(def)	False
G_M1_1_009	stoue	stoof	n(sing)	stoof	n(sing)	False

G_M1_1_010	ende	en	conj(coord)	en	conj(coord)	False
G_M1_1_010	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
G_M1_1_010	sie	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
G_M1_1_010	den	de	art(def)	de	art(def)	False
G_M1_1_010	rechten	recht	n(plu)	recht	n(plu)	False
G_M1_1_010	slaen	slaan	v(infin)	slaan	v(infin)	False

G_M1_1_011	beide	beide	num(indef)	beide	num(indef)	False
G_M1_1_011	bespotten	bespotten	v(infin)	bespotten	v(infin)	False
G_M1_1_011	ende	en	conj(coord)	en	conj(coord)	False
G_M1_1_011	vaen	vangen	v(infin)	vangen	v(infin)	False

G_M1_1_012	alse	als	conj(subord)	als	conj(subord)	False
G_M1_1_012	die	de	art(def)	de	art(def)	False
G_M1_1_012	meese	mees	pron(indef)+pron(pers,3,plu)	mees	pron(indef)+pron(pers,3,plu)	False
G_M1_1_012	in	in	adp()	in	adp()	False
G_M1_1_012	die	de	art(def)	de	art(def)	False
G_M1_1_012	cloue	kloof	n(sing)	kloof	n(sing)	False

G_M1_1_013	rechte	recht	n(sing)	recht	n(sing)	False
G_M1_1_013	ochtene	of+te	adv(gener)	of+te	adv(gener)	False
G_M1_1_013	god	god	n(sing)	god	n(sing)	False
G_M1_1_013	verscroue	verschrijven	v(fin,pres,lex)	verschrijven	v(fin,pres,lex)	False

G_M1_2_014	hoe	hoe	adv(inter)	hoe	adv(inter)	False
G_M1_2_014	lange	lang	adv(gener)	lang	adv(gener)	False
G_M1_2_014	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
G_M1_2_014	gedoegen	gedogen	v(infin)	gedogen	v(infin)	False
G_M1_2_014	dit	dit	pron(dem)	dit	pron(dem)	False

G_M1_2_015	god	god	n(sing)	god	n(sing)	False
G_M1_2_015	die	die	pron(rel)	die	pron(rel)	False
G_M1_2_015	alle	al	num(indef)	al	num(indef)	False
G_M1_2_015	dinc	ding	n(plu)	ding	n(plu)	False
G_M1_2_015	besit	bezit	v(fin,pres,lex)	bezit	v(fin,pres,lex)	False

G_M1_2_016	jn	in	adp()	in	adp()	False
G_M1_2_016	sine	zijn	pron(poss)	zijn	pron(poss)	False
G_M1_2_016	heerscapie	heerschappij	n(sing)	heerschappij	n(sing)	False

G_M1_2_017	dat	dat	conj(subord)	dat	conj(subord)	False
G_M1_2_017	die	de	art(def)	de	art(def)	False
G_M1_2_017	goede	goed	adj()	goed	adj()	False
G_M1_2_017	vleet	vleed	v(fin,pres,lex)	vleed	v(fin,pres,lex)	False
G_M1_2_017	ende	en	conj(coord)	en	conj(coord)	False
G_M1_2_017	bit	bidden	adp()	bidden	adp()	False

G_M1_2_018	ende	en	conj(coord)	en	conj(coord)	False
G_M1_2_018	hem	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
G_M1_2_018	en	ne	adv(neg)	ne	adv(neg)	False
G_M1_2_018	doech	deugen	v(fin,pres,lex)	deugen	v(fin,pres,lex)	False
G_M1_2_018	no	no	conj(coord)	no	conj(coord)	False
G_M1_2_018	dat	dat	pron(rel)	dat	pron(rel)	False
G_M1_2_018	no	no	adp()	no	adp()	False
G_M1_2_018	dit	dit	pron(dem)	dit	pron(dem)	False

G_M1_2_019	dat	dat	conj(subord)	dat	conj(subord)	False
G_M1_2_019	hi	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
G_M1_2_019	yet	iet	pron(indef)	iet	pron(indef)	False
G_M1_2_019	gedye	gide	v(fin,pres,lex)	gide	v(fin,pres,lex)	False

G_M1_2_020	al	al	adv(gener)	al	adv(gener)	False
G_M1_2_020	varet	varen	v(fin,pres,lex)	varen	v(fin,pres,lex)	False
G_M1_2_020	in	in	adp()	in	adp()	False
G_M1_2_020	den	de	art(def)	de	art(def)	False
G_M1_2_020	helschen	hels	adj()	hels	adj()	False
G_M1_2_020	pit	put	n(sing)	put	n(sing)	False

G_M1_2_021	eest	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	False
G_M1_2_021	graeu	grauw	n(sing)	grauw	n(sing)	False
G_M1_2_021	eest	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	False
G_M1_2_021	blaeu	blauw	n(sing)	blauw	n(sing)	False
G_M1_2_021	swert	zwart	n(sing)	zwart	n(sing)	False
G_M1_2_021	oft	of	conj(coord)	of	conj(coord)	False
G_M1_2_021	wit	wit	adj()	wit	adj()	False

G_M1_2_022	hets	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	False
G_M1_2_022	getrouwe	getrouw	adj()	getrouw	adj()	False
G_M1_2_022	als	als	conj(subord)	als	conj(subord)	False
G_M1_2_022	die	die	pron(rel)	die	pron(rel)	False
G_M1_2_022	sie	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False

G_M1_2_023	die	de	art(def)	de	art(def)	False
G_M1_2_023	rechte	recht	adj()	recht	adj()	False
G_M1_2_023	man	man	n(sing)	man	n(sing)	False
G_M1_2_023	graeft	graven	v(fin,pres,lex)	graven	v(fin,pres,lex)	False
G_M1_2_023	sonder	zonder	adp()	zonder	adp()	False
G_M1_2_023	spit	spit	n(sing)	spit	n(sing)	False

G_M1_2_024	hine	hij+ne	pron(pers,3,sing)+adv(neg)	hij+ne	pron(pers,3,sing)+adv(neg)	False
G_M1_2_024	heeft	hebben	v(fin,pres,aux_cop)	hebben	v(fin,pres,aux_cop)	False
G_M1_2_024	te	te	adp()	te	adp()	False
G_M1_2_024	poente	punt	n(sing)	punt	n(sing)	False
G_M1_2_024	niet	niet	adv(neg)	niet	adv(neg)	False
G_M1_2_024	gehit	geheet	v(participle,past)	geheet	v(participle,past)	False

G_M1_2_025	jn	in	adp()	in	adp()	False
G_M1_2_025	negene	negeen	pron(indef)	negeen	pron(indef)	False
G_M1_2_025	baelgie	baljuw	n(sing)	baljuw	n(sing)	False

G_M1_2_026	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
G_M1_2_026	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
G_M1_2_026	leet	leed	adj()	leed	adj()	False
