line_id	form	lemma	pos	corr_lemma	corr_pos	damage
K_M1_60_768	berecht	berechten	v(imp)	berechten	v(imp)	False
K_M1_60_768	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
K_M1_60_768	jacob	jacob	n(prop)	jacob	n(prop)	False
K_M1_60_768	oftu	du+of	pron(pers,2,sing)+conj(subord)	du+of	pron(pers,2,sing)+conj(subord)	False
K_M1_60_768	wout	willen	v(fin,past,lex)	willen	v(fin,past,lex)	False

K_M1_60_769	weder	weder	adv(gener)	weder	adv(gener)	False
K_M1_60_769	sekerst	zeker	adj()	zeker	adj()	False
K_M1_60_769	is	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
K_M1_60_769	int	in+dat	adp()+art(def)	in+dat	adp()+art(def)	False
K_M1_60_769	behout	behoud	n(sing)	behoud	n(sing)	False

K_M1_60_770	rijcheit	rijkheid	n(sing)	rijkheid	n(sing)	False
K_M1_60_770	of	of	conj(coord)	of	conj(coord)	False
K_M1_60_770	armoede	armoede	n(sing)	armoede	n(sing)	False

K_M1_60_771	eest	het+zijn	v(fin,pres,aux_cop)+pron(pers,3,sing)	het+zijn	v(fin,pres,aux_cop)+pron(pers,3,sing)	False
K_M1_60_771	leec	leek	n(sing)	leek	n(sing)	False
K_M1_60_771	clerc	klerk	n(sing)	klerk	n(sing)	False
K_M1_60_771	ionc	jong	adj()	jong	adj()	False
K_M1_60_771	of	of	conj(coord)	of	conj(coord)	False
K_M1_60_771	out	oud	adj()	oud	adj()	False

K_M1_60_772	het	het	pron(pers,3,sing)	het	pron(pers,3,sing)	False
K_M1_60_772	dinct	dunken	v(fin,pres,aux_cop)	dunken	v(fin,pres,aux_cop)	False
K_M1_60_772	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
K_M1_60_772	al	al	num(indef)	al	num(indef)	False
K_M1_60_772	wesen	wezen	v(infin)	wezen	v(infin)	False
K_M1_60_772	gader	gader	adv(gener)	gader	adv(gener)	False
K_M1_60_772	gout	goud	n(sing)	goud	n(sing)	False

K_M1_60_773	al	al	adv(gener)	al	adv(gener)	False
K_M1_60_773	staet	staan	v(fin,pres,lex)	staan	v(fin,pres,lex)	False
K_M1_60_773	na	na	adp()	na	adp()	False
K_M1_60_773	den	dat	art(def)	dat	art(def)	False
K_M1_60_773	goede	goed	n(sing)	goed	n(sing)	False

K_M1_60_774	aermoede	armoede	n(sing)	armoede	n(sing)	False
K_M1_60_774	prisic	prijssig	v(fin,pres,lex)+pron(pers,1,sing)	prijssig	v(fin,pres,lex)+pron(pers,1,sing)	False
K_M1_60_774	menichfout	menigvoud	n(sing)	menigvoud	n(sing)	False

K_M1_60_775	want	want	conj(subord)	want	conj(subord)	False
K_M1_60_775	si	zij	pron(pers,3,sing)	zij	pron(pers,3,sing)	False
K_M1_60_775	is	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
K_M1_60_775	zeker	zeker	adj()	zeker	adj()	False
K_M1_60_775	ende	en	conj(coord)	en	conj(coord)	False
K_M1_60_775	stout	stout	adj()	stout	adj()	False

K_M1_60_776	voor	voor	adp()	voor	adp()	False
K_M1_60_776	rouers	rover	n(plu)	rover	n(plu)	False
K_M1_60_776	sonder	zonder	adp()	zonder	adp()	False
K_M1_60_776	hoede	hoede	n(sing)	hoede	n(sing)	False

K_M1_60_777	doch	doch	adv(gener)	doch	adv(gener)	False
K_M1_60_777	minnen	minnen	v(fin,pres,lex)	minnen	v(fin,pres,lex)	False
K_M1_60_777	si	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
K_M1_60_777	voor	voor	adp()	voor	adp()	False
K_M1_60_777	water	water	n(sing)	water	n(sing)	False
K_M1_60_777	smout	smout	n(sing)	smout	n(sing)	False

K_M1_60_778	si	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
K_M1_60_778	scuwen	schuwen	v(fin,pres,lex)	schuwen	v(fin,pres,lex)	False
K_M1_60_778	honger	honger	n(sing)	honger	n(sing)	False
K_M1_60_778	ende	en	conj(coord)	en	conj(coord)	False
K_M1_60_778	cout	koud	adj()	koud	adj()	False

K_M1_60_779	eist	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	False
K_M1_60_779	also	alzo	conj(subord)	alzo	conj(subord)	False
K_M1_60_779	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
K_M1_60_779	mi	mij	pron(refl,1,sing)	mij	pron(refl,1,sing)	False
K_M1_60_779	vermoede	vermoeden	v(fin,pres,lex)	vermoeden	v(fin,pres,lex)	False

K_M1_60_780	so	zo	adv(gener)	zo	adv(gener)	False
K_M1_60_780	dolen	dolen	v(fin,pres,lex)	dolen	v(fin,pres,lex)	False
K_M1_60_780	dese	deze	pron(dem)	deze	pron(dem)	False
K_M1_60_780	vroede	vroed	adj()	vroed	adj()	False

K_M1_61_781	maertin	martin	n(prop)	martin	n(prop)	False
K_M1_61_781	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
K_M1_61_781	mete	meten	v(fin,pres,lex)	meten	v(fin,pres,lex)	False
K_M1_61_781	di	du	pron(rel)	du	pron(rel)	False
K_M1_61_781	vul	vol	adj()	vol	adj()	False
K_M1_61_781	diin	dijn	pron(poss)	dijn	pron(poss)	False
K_M1_61_781	vat	vat	n(sing)	vat	n(sing)	False

K_M1_61_782	vp	op	adp()	op	adp()	False
K_M1_61_782	den	de	art(def)	de	art(def)	False
K_M1_61_782	stoel	stoel	n(sing)	stoel	n(sing)	False
K_M1_61_782	der	de	art(def)+n(sing)	de	art(def)+n(sing)	False
K_M1_61_782	moyses	mozes	n(prop)	mozes	n(prop)	False
K_M1_61_782	sat	zitten	v(fin,past,lex)	zitten	v(fin,past,lex)	False

K_M1_61_783	sitten	zitten	v(infin)	zitten	v(infin)	False
K_M1_61_783	die	die	pron(rel)	die	pron(rel)	False
K_M1_61_783	gheleerde	geleerd	adj()	geleerd	adj()	False

K_M1_61_784	dat	dat	conj(subord)	dat	conj(subord)	False
K_M1_61_784	si	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
K_M1_61_784	di	du	art(def)	du	art(def)	False
K_M1_61_784	raden	raden	v(fin,pres,lex)	raden	v(fin,pres,lex)	False
K_M1_61_784	doe	toen	adv(dem)	toen	adv(dem)	False
K_M1_61_784	al	al	num(indef)	al	num(indef)	False
K_M1_61_784	dat	dat	art(def)	dat	art(def)	False

K_M1_61_785	si	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
K_M1_61_785	wisen	wijzen	v(fin,pres,lex)	wijzen	v(fin,pres,lex)	False
K_M1_61_785	di	du	pron(rel)	du	pron(rel)	False
K_M1_61_785	den	de	art(def)	de	art(def)	False
K_M1_61_785	rechten	recht	adj()	recht	adj()	False
K_M1_61_785	pat	pad	n(sing)	pad	n(sing)	False

K_M1_61_786	so	zo	adv(gener)	zo	adv(gener)	False
K_M1_61_786	wel	wel	adv(gener)	wel	adv(gener)	False
K_M1_61_786	hem	hij	pron(pers,3,plu)	hij	pron(pers,3,plu)	False
K_M1_61_786	diere	die+er	pron(rel)+pronadv(pers)	die+er	pron(rel)+pronadv(pers)	False
K_M1_61_786	hem	hij	pron(pers,3,plu)	hij	pron(pers,3,plu)	False
K_M1_61_786	an	aan	v(fin,past,lex)	aan	v(fin,past,lex)	False
K_M1_61_786	keerde	keren	v(fin,past,lex)	keren	v(fin,past,lex)	False

K_M1_61_787	mer	maar	conj(coord)	maar	conj(coord)	False
K_M1_61_787	in	in	adp()	in	adp()	False
K_M1_61_787	weldoen	weldoen	v(infin)	weldoen	v(infin)	False
K_M1_61_787	siin	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
K_M1_61_787	si	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
K_M1_61_787	lat	laten	v(fin,pres,lex)	laten	v(fin,pres,lex)	False

K_M1_61_788	si	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
K_M1_61_788	heten	heten	v(fin,pres,aux_cop)	heten	v(fin,pres,aux_cop)	False
K_M1_61_788	vasten	vasten	adj()	vasten	adj()	False
K_M1_61_788	mer	maar	conj(coord)	maar	conj(coord)	False
K_M1_61_788	si	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
K_M1_61_788	siin	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
K_M1_61_788	sat	zitten	adj()	zitten	adj()	False

K_M1_61_789	volghe	volgen	v(fin,pres,lex)	volgen	v(fin,pres,lex)	False
K_M1_61_789	niet	niet	adv(neg)	niet	adv(neg)	False
K_M1_61_789	sulke	zulk	pron(dem)	zulk	pron(dem)	False
K_M1_61_789	heerde	herde	n(sing)	herde	n(sing)	False

K_M1_61_790	si	zij	pron(pers,3,sing)	zij	pron(pers,3,sing)	False
K_M1_61_790	en	ne	adv(neg)	ne	adv(neg)	False
K_M1_61_790	minnen	minnen	v(fin,pres,lex)	minnen	v(fin,pres,lex)	False
K_M1_61_790	niet	niet	adv(neg)	niet	adv(neg)	False
K_M1_61_790	voor	voor	adp()	voor	adp()	False
K_M1_61_790	den	de	art(def)	de	art(def)	False
K_M1_61_790	scat	schat	n(sing)	schat	n(sing)	False

K_M1_61_791	haer	haar	pron(poss)	haar	pron(poss)	False
K_M1_61_791	hant	hand	n(sing)	hand	n(sing)	False
K_M1_61_791	is	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
K_M1_61_791	altoos	altoos	adv(gener)	altoos	adv(gener)	False
K_M1_61_791	sonder	zonder	adp()	zonder	adp()	False
K_M1_61_791	gat	gat	n(sing)	gat	n(sing)	False

K_M1_61_792	noyt	nooit	adv(neg)	nooit	adv(neg)	False
K_M1_61_792	was	zijn	v(fin,past,aux_cop)	zijn	v(fin,past,aux_cop)	False
K_M1_61_792	volc	volk	n(sing)	volk	n(sing)	False
K_M1_61_792	vp	op	adp()	op	adp()	False
K_M1_61_792	de	de	art(def)	de	art(def)	False
K_M1_61_792	eerde	aarde	n(sing)	aarde	n(sing)	False

K_M1_61_793	dat	dat	pron(rel)	dat	pron(rel)	False
K_M1_61_793	meer	meer	num(indef)	meer	num(indef)	False
K_M1_61_793	scats	schat	n(sing)	schat	n(sing)	False
K_M1_61_793	begheerde	begeren	v(fin,past,lex)	begeren	v(fin,past,lex)	False

K_M1_62_794	die	de	art(def)	de	art(def)	False
K_M1_62_794	meeste	meest	adj()	meest	adj()	False
K_M1_62_794	menichte	menigte	n(sing)	menigte	n(sing)	False
K_M1_62_794	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
K_M1_62_794	dus	dus	adv(dem)	dus	adv(dem)	False
K_M1_62_794	gedaen	doen	v(participle,past)	doen	v(participle,past)	False

K_M1_62_795	nochtan	nochtan	adv(gener)	nochtan	adv(gener)	False
K_M1_62_795	vintmer	men+vinden+zij	adv(gener)	men+vinden+zij	adv(gener)	False
K_M1_62_795	sonder	zonder	adp()	zonder	adp()	False
K_M1_62_795	waen	waan	n(sing)	waan	n(sing)	False

K_M1_62_796	al	al	adv(gener)	al	adv(gener)	False
