line_id	form	lemma	pos	corr_lemma	corr_pos	damage
C_M3_1_000	van	van	adp()	van	adp()	False
C_M3_1_000	der	de	art(def)	de	art(def)	False
C_M3_1_000	drieuoudicheide	drievuldigheid	n(sing)	drievuldigheid	n(sing)	False

C_M3_1_001	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
C_M3_1_001	mane	manen	v(fin,pres,lex)	manen	v(fin,pres,lex)	False
C_M3_1_001	den	de	art(def)	de	art(def)	False
C_M3_1_001	mannen	man	n(plu)	man	n(plu)	False
C_M3_1_001	metten	de+met	adp()+art(def)	de+met	adp()+art(def)	False
C_M3_1_001	wiuen	wijf	n(plu)	wijf	n(plu)	False

C_M3_1_002	die	die	pron(rel)	die	pron(rel)	False
C_M3_1_002	dit	dit	pron(dem)	dit	pron(dem)	False
C_M3_1_002	lesen	lezen	v(infin)	lezen	v(infin)	False
C_M3_1_002	zoelen	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
C_M3_1_002	ofte	of	conj(coord)	of	conj(coord)	False
C_M3_1_002	scriuen	schrijven	v(infin)	schrijven	v(infin)	False

C_M3_1_003	op	op	adp()	op	adp()	False
C_M3_1_003	den	de	art(def)	de	art(def)	False
C_M3_1_003	hoechsden	hoog	n(sing)	hoog	n(sing)	False
C_M3_1_003	ban	ban	n(sing)	ban	n(sing)	False

C_M3_1_004	dat	dat	conj(subord)	dat	conj(subord)	False
C_M3_1_004	zij	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
C_M3_1_004	dit	dit	pron(dem)	dit	pron(dem)	False
C_M3_1_004	dicht	dicht	n(sing)	dicht	n(sing)	False
C_M3_1_004	laten	laten	v(fin,pres,lex)	laten	v(fin,pres,lex)	False
C_M3_1_004	bliuen	blijven	v(infin)	blijven	v(infin)	False

C_M3_1_005	reine	rein	adj()	rein	adj()	False
C_M3_1_005	ende	en	conj(coord)	en	conj(coord)	False
C_M3_1_005	zire	zij+er	pron(poss)	zij+er	pron(poss)	False
C_M3_1_005	niet	niet	adv(neg)	niet	adv(neg)	False
C_M3_1_005	in	in	adp()	in	adp()	False
C_M3_1_005	en	ne	adv(neg)	ne	adv(neg)	False
C_M3_1_005	driuen	drijven	v(infin)	drijven	v(infin)	False

C_M3_1_006	woert	woord	n(sing)	woord	n(sing)	False
C_M3_1_006	litter	letter	n(sing)	letter	n(sing)	False
C_M3_1_006	af	af	pronadv(prep)	af	pronadv(prep)	False
C_M3_1_006	noch	nog	conj(coord)	nog	conj(coord)	False
C_M3_1_006	an	aan	adp()	aan	adp()	False

C_M3_1_007	doen	doen	v(infin)	doen	v(infin)	False
C_M3_1_007	zijt	zij+het	pron(pers,3,plu)+pron(pers,3,sing)	zij+het	pron(pers,3,plu)+pron(pers,3,sing)	False
C_M3_1_007	oec	ook	adv(gener)	ook	adv(gener)	False
C_M3_1_007	hem	zich	pron(pers,3,sing)	zich	pron(pers,3,sing)	False
C_M3_1_007	zal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
C_M3_1_007	becliuen	beklijven	v(infin)	beklijven	v(infin)	False

C_M3_1_008	mijn	mijn	pron(poss)	mijn	pron(poss)	False
C_M3_1_008	ban	ban	n(sing)	ban	n(sing)	False
C_M3_1_008	ende	en	conj(coord)	en	conj(coord)	False
C_M3_1_008	zine	zijn	pron(poss)	zijn	pron(poss)	False
C_M3_1_008	zoelent	zullen+het	n(sing)	zullen+het	n(sing)	False
C_M3_1_008	afwriuen	afwrijven	v(infin)	afwrijven	v(infin)	False

C_M3_1_009	moeghen	mogen	v(fin,pres,aux_cop)	mogen	v(fin,pres,aux_cop)	False
C_M3_1_009	oec	ook	adv(gener)	ook	adv(gener)	False
C_M3_1_009	niet	niet	adv(neg)	niet	adv(neg)	False
C_M3_1_009	nochtan	nochtan	adv(gener)	nochtan	adv(gener)	False

C_M3_1_010	dit	dit	pron(dem)	dit	pron(dem)	False
C_M3_1_010	en	ne	adv(neg)	ne	adv(neg)	False
C_M3_1_010	is	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
C_M3_1_010	gheen	geen	pron(indef)	geen	pron(indef)	False
C_M3_1_010	spot	spot	n(sing)	spot	n(sing)	False
C_M3_1_010	van	van	adp()	van	adp()	False
C_M3_1_010	keytiuen	katijf	n(prop)	katijf	n(prop)	False

C_M3_1_011	hets	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	False
C_M3_1_011	daer	daar	pronadv(rel)	daar	pronadv(rel)	False
C_M3_1_011	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
C_M3_1_011	mi	mij	pron(pers,1,sing)	mij	pron(pers,1,sing)	False
C_M3_1_011	eer	eer	adv(gener)	eer	adv(gener)	False
C_M3_1_011	om	om	adp()	om	adp()	False
C_M3_1_011	liet	laten	v(fin,past,aux_cop)	laten	v(fin,past,aux_cop)	False
C_M3_1_011	ontliuen	ontlijven	v(infin)	ontlijven	v(infin)	False

C_M3_1_012	eer	eer	conj(subord)	eer	conj(subord)	False
C_M3_1_012	icker	ik+daar	pron(pers,1,sing)+pron(pers,3,plu)	ik+daar	pron(pers,1,sing)+pron(pers,3,plu)	False
C_M3_1_012	sciede	scheiden	v(fin,past,lex)	scheiden	v(fin,past,lex)	False
C_M3_1_012	van	van	adp()	van	adp()	False

C_M3_1_013	hoert	horen	v(imp)	horen	v(imp)	False
C_M3_1_013	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
C_M3_1_013	dat	dat	conj(subord)	dat	conj(subord)	False
C_M3_1_013	ict	het+ik	pron(pers,3,sing)+pron(pers,1,sing)	het+ik	pron(pers,3,sing)+pron(pers,1,sing)	False
C_M3_1_013	leren	leren	v(infin)	leren	v(infin)	False
