line_id	form	lemma	pos	corr_lemma	corr_pos	damage
A_M1_1_001	vvaphene	vopheen	v(infin)	vopheen	v(infin)	False
A_M1_1_001	martin	martin	n(prop)	martin	n(prop)	False
A_M1_1_001	hoe	hoe	adv(inter)	hoe	adv(inter)	False
A_M1_1_001	salt	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	False
A_M1_1_001	gaen	gaan	v(infin)	gaan	v(infin)	False

A_M1_1_002	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
A_M1_1_002	die	de	art(def)	de	art(def)	False
A_M1_1_002	weerelt	wereld	n(sing)	wereld	n(sing)	False
A_M1_1_002	hiet	iet	adv(gener)	iet	adv(gener)	False
A_M1_1_002	langhe	lang	adv(gener)	lang	adv(gener)	False
A_M1_1_002	staen	staan	v(infin)	staan	v(infin)	False

A_M1_1_003	in	in	adp()	in	adp()	False
A_M1_1_003	dus	dus	adv(dem)	dus	adv(dem)	False
A_M1_1_003	crancken	krank	adj()	krank	adj()	False
A_M1_1_003	loue	lof	n(sing)	lof	n(sing)	False

A_M1_1_004	so	zo	adv(resum)	zo	adv(resum)	False
A_M1_1_004	moet	moeten	v(fin,pres,aux_cop)	moeten	v(fin,pres,aux_cop)	False
A_M1_1_004	vrouwe	vrouw	n(sing)	vrouw	n(sing)	False
A_M1_1_004	vereere	vereren	adv(gener)	vereren	adv(gener)	False
A_M1_1_004	saen	zaan	adv(gener)	zaan	adv(gener)	False

A_M1_1_005	sonder	zonder	adp()	zonder	adp()	False
A_M1_1_005	twifel	twijfel	n(sing)	twijfel	n(sing)	False
A_M1_1_005	ende	en	conj(coord)	en	conj(coord)	False
A_M1_1_005	waen	waan	n(sing)	waan	n(sing)	False

A_M1_1_006	rumen	ruimen	v(infin)	ruimen	v(infin)	False
A_M1_1_006	heeren	heer	n(sing)	heer	n(sing)	False
A_M1_1_006	houe	hof	n(sing)	hof	n(sing)	False

A_M1_1_007	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
A_M1_1_007	zie	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
A_M1_1_007	den	de	art(def)	de	art(def)	False
