line_id	form	lemma	pos	corr_lemma	corr_pos	damage
O_M1_1_001	waphene	wapen	v(infin)	wapen	v(infin)	False
O_M1_1_001	martin	martin	n(prop)	martin	n(prop)	False
O_M1_1_001	hoe	hoe	adv(inter)	hoe	adv(inter)	False
O_M1_1_001	salt	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	zullen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	False
O_M1_1_001	gaen	gaan	v(infin)	gaan	v(infin)	False

O_M1_1_002	sal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
O_M1_1_002	dese	deze	pron(dem)	deze	pron(dem)	False
O_M1_1_002	weerelt	wereld	n(sing)	wereld	n(sing)	False
O_M1_1_002	yet	iet	pron(indef)	iet	pron(indef)	False
O_M1_1_002	langhe	lang	adj()	lang	adj()	False
O_M1_1_002	staen	staan	v(infin)	staan	v(infin)	False

O_M1_1_003	in	in	adp()	in	adp()	False
O_M1_1_003	dus	dus	adv(dem)	dus	adv(dem)	False
O_M1_1_003	cranken	krank	adj()	krank	adj()	False
O_M1_1_003	loue	lof	n(sing)	lof	n(sing)	False

O_M1_1_004	so	zo	adv(resum)	zo	adv(resum)	False
O_M1_1_004	zal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
O_M1_1_004	mijn	mijn	pron(poss)	mijn	pron(poss)	False
O_M1_1_004	vrauwe	vrouw	n(sing)	vrouw	n(sing)	False
O_M1_1_004	eere	eer	n(sing)	eer	n(sing)	False
O_M1_1_004	zaen	zaan	n(sing)	zaan	n(sing)	False

O_M1_1_005	sonder	zonder	adp()	zonder	adp()	False
O_M1_1_005	twifel	twijfel	n(sing)	twijfel	n(sing)	False
O_M1_1_005	ende	en	conj(coord)	en	conj(coord)	False
O_M1_1_005	waen	waan	n(sing)	waan	n(sing)	False

O_M1_1_006	rumen	ruimen	v(infin)	ruimen	v(infin)	False
O_M1_1_006	der	de	art(def)	de	art(def)	False
O_M1_1_006	heeren	heer	n(plu)	heer	n(plu)	False
O_M1_1_006	houe	hof	n(sing)	hof	n(sing)	False

O_M1_1_007	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
O_M1_1_007	sie	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
O_M1_1_007	den	de	art(def)	de	art(def)	False
O_M1_1_007	scalke	schalk	n(plu)	schalk	n(plu)	False
O_M1_1_007	wel	wel	adv(gener)	wel	adv(gener)	False
O_M1_1_007	ontfaen	ontvangen	v(infin)	ontvangen	v(infin)	False

O_M1_1_008	die	die	pron(rel)	die	pron(rel)	False
O_M1_1_008	de	de	art(def)	de	art(def)	False
O_M1_1_008	heeren	heer	n(plu)	heer	n(plu)	False
O_M1_1_008	connen	kunnen	v(fin,pres,aux_cop)	kunnen	v(fin,pres,aux_cop)	False
O_M1_1_008	dwaen	dwaan	v(infin)	dwaan	v(infin)	False

O_M1_1_009	ende	en	conj(coord)	en	conj(coord)	False
O_M1_1_009	plocken	plukken	v(infin)	plukken	v(infin)	False
O_M1_1_009	van	van	adp()	van	adp()	False
O_M1_1_009	den	de	art(def)	de	art(def)	False
O_M1_1_009	stoue	stoof	n(sing)	stoof	n(sing)	False

O_M1_1_010	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
O_M1_1_010	zie	zij	pron(pers,3,plu)	zij	pron(pers,3,plu)	False
O_M1_1_010	die	de	art(def)	de	art(def)	False
O_M1_1_010	gherechte	gerecht	n(sing)	gerecht	n(sing)	False
O_M1_1_010	slaen	slaan	v(infin)	slaan	v(infin)	False

O_M1_1_011	bede	bede	n(sing)	bede	n(sing)	False
O_M1_1_011	bescatten	beschatten	v(infin)	beschatten	v(infin)	False
O_M1_1_011	ende	en	conj(coord)	en	conj(coord)	False
O_M1_1_011	vaen	vangen	v(infin)	vangen	v(infin)	False

O_M1_1_012	alse	als	conj(subord)	als	conj(subord)	False
O_M1_1_012	die	de	art(def)	de	art(def)	False
O_M1_1_012	meese	mees	pron(indef)+pron(pers,3,plu)	mees	pron(indef)+pron(pers,3,plu)	False
O_M1_1_012	in	in	adp()	in	adp()	False
O_M1_1_012	de	de	art(def)	de	art(def)	False
O_M1_1_012	cloue	kloof	n(sing)	kloof	n(sing)	False

O_M1_1_013	recht	recht	n(sing)	recht	n(sing)	False
O_M1_1_013	oftene	of+de	pron(pers,3,sing)+conj(subord)	of+de	pron(pers,3,sing)+conj(subord)	False
O_M1_1_013	god	god	n(sing)	god	n(sing)	False
O_M1_1_013	verscoue	verschoof	v(fin,pres,lex)	verschoof	v(fin,pres,lex)	False

O_M1_2_014	hoe	hoe	adv(inter)	hoe	adv(inter)	False
O_M1_2_014	langhe	lang	adv(gener)	lang	adv(gener)	False
O_M1_2_014	zal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
O_M1_2_014	ghedoghen	gedogen	v(infin)	gedogen	v(infin)	False
O_M1_2_014	dit	dit	pron(dem)	dit	pron(dem)	False

O_M1_2_015	god	god	n(sing)	god	n(sing)	False
O_M1_2_015	die	die	pron(rel)	die	pron(rel)	False
O_M1_2_015	alle	al	num(indef)	al	num(indef)	False
O_M1_2_015	dijnc	ding	n(plu)	ding	n(plu)	False
O_M1_2_015	besit	bezit	v(fin,pres,lex)	bezit	v(fin,pres,lex)	False

O_M1_2_016	in	in	adp()	in	adp()	False
O_M1_2_016	sine	zijn	pron(poss)	zijn	pron(poss)	False
O_M1_2_016	heerscapie	heerschappij	n(sing)	heerschappij	n(sing)	False

O_M1_2_017	wat	wat	pron(rel)	wat	pron(rel)	False
O_M1_2_017	die	de	art(def)	de	art(def)	False
O_M1_2_017	goede	goed	adj()	goed	adj()	False
O_M1_2_017	vleeut	uitleven	v(fin,pres,lex)	uitleven	v(fin,pres,lex)	False
O_M1_2_017	ende	en	conj(coord)	en	conj(coord)	False
O_M1_2_017	bidt	bidden	v(fin,pres,lex)	bidden	v(fin,pres,lex)	False

O_M1_2_018	hem	zij	pron(pers,3,sing)	zij	pron(pers,3,sing)	False
O_M1_2_018	en	ne	adv(neg)	ne	adv(neg)	False
O_M1_2_018	doech	deugen	v(fin,pres,lex)	deugen	v(fin,pres,lex)	False
O_M1_2_018	no	no	conj(coord)	no	conj(coord)	False
O_M1_2_018	dat	dat	pron(rel)	dat	pron(rel)	False
O_M1_2_018	no	no	adp()	no	adp()	False
O_M1_2_018	dit	dit	pron(dem)	dit	pron(dem)	False

O_M1_2_019	dat	dat	conj(subord)	dat	conj(subord)	False
O_M1_2_019	hij	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
O_M1_2_019	hier	hier	adv(dem)	hier	adv(dem)	False
O_M1_2_019	ghedie	gedie	v(fin,past,lex)	gedie	v(fin,past,lex)	False

O_M1_2_020	al	al	adv(gener)	al	adv(gener)	False
O_M1_2_020	gaet	gaan	v(fin,pres,lex)	gaan	v(fin,pres,lex)	False
O_M1_2_020	in	in	adp()	in	adp()	False
O_M1_2_020	den	de	art(def)	de	art(def)	False
O_M1_2_020	helschen	hels	adj()	hels	adj()	False
O_M1_2_020	pit	put	n(sing)	put	n(sing)	False

O_M1_2_021	eist	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)	False
O_M1_2_021	grau	grauw	adj()	grauw	adj()	False
O_M1_2_021	blaeu	blauw	n(sing)	blauw	n(sing)	False
O_M1_2_021	zwart	zwart	adj()	zwart	adj()	False
O_M1_2_021	of	of	conj(coord)	of	conj(coord)	False
O_M1_2_021	wit	wit	adj()	wit	adj()	False

O_M1_2_022	het	het	pron(pers,3,sing)	het	pron(pers,3,sing)	False
O_M1_2_022	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
O_M1_2_022	ghetrauwe	getrouw	adj()	getrouw	adj()	False
O_M1_2_022	als	als	conj(subord)	als	conj(subord)	False
O_M1_2_022	die	die	pron(rel)	die	pron(rel)	False
O_M1_2_022	zie	zij	n(sing)	zij	n(sing)	False

O_M1_2_023	recht	recht	adj()	recht	adj()	False
O_M1_2_023	man	man	n(sing)	man	n(sing)	False
O_M1_2_023	deluet	delven	v(fin,pres,lex)	delven	v(fin,pres,lex)	False
O_M1_2_023	zonder	zonder	adp()	zonder	adp()	False
O_M1_2_023	spit	spit	n(sing)	spit	n(sing)	False

O_M1_2_024	hij	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
O_M1_2_024	en	en	adv(neg)	en	adv(neg)	False
O_M1_2_024	heeft	hebben	v(fin,pres,aux_cop)	hebben	v(fin,pres,aux_cop)	False
O_M1_2_024	te	te	adp()	te	adp()	False
O_M1_2_024	pointe	punt	n(sing)	punt	n(sing)	False
O_M1_2_024	niet	niet	adv(neg)	niet	adv(neg)	False
O_M1_2_024	ghehit	heten	v(participle,past)	heten	v(participle,past)	False

O_M1_2_025	in	in	adp()	in	adp()	False
O_M1_2_025	ne	ne	adv(neg)	ne	adv(neg)	False
O_M1_2_025	ghene	geen	pron(indef)	geen	pron(indef)	False
O_M1_2_025	baelgie	baljuw	n(sing)	baljuw	n(sing)	False

O_M1_2_026	mij	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
O_M1_2_026	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
O_M1_2_026	leet	leed	n(sing)	leed	n(sing)	False
O_M1_2_026	dat	dat	conj(subord)	dat	conj(subord)	False
O_M1_2_026	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
O_M1_2_026	waer	zijn	adj()	zijn	adj()	False
O_M1_2_026	lye	lijden	v(fin,pres,lex)	lijden	v(fin,pres,lex)	False

O_M1_3_027	laet	laat	v(imp)	laat	v(imp)	False
O_M1_3_027	ons	wij	pron(pers,1,plu)	wij	pron(pers,1,plu)	False
O_M1_3_027	martin	martinus	n(prop)	martinus	n(prop)	False
O_M1_3_027	ouer	over	adp()	over	adp()	False
O_M1_3_027	een	een	art(indef)	een	art(indef)	False

O_M1_3_028	te	te	adp()	te	adp()	False
O_M1_3_028	gader	gader	n(sing)	gader	n(sing)	False
O_M1_3_028	spreken	spreken	v(fin,pres,lex)	spreken	v(fin,pres,lex)	False
O_M1_3_028	onder	onder	adp()	onder	adp()	False
O_M1_3_028	ons	wij	pron(pers,1,plu)	wij	pron(pers,1,plu)	False
O_M1_3_028	tween	twee	num(card)	twee	num(card)	False

O_M1_3_029	in	in	adp()	in	adp()	False
O_M1_3_029	dit	dit	pron(dem)	dit	pron(dem)	False
O_M1_3_029	dyaloghe	dialog	n(sing)	dialog	n(sing)	False

O_M1_3_030	wanen	wanen	v(fin,pres,aux_cop)	wanen	v(fin,pres,aux_cop)	False
O_M1_3_030	ons	wij	pron(pers,1,plu)	wij	pron(pers,1,plu)	False
O_M1_3_030	cam	komen	v(fin,past,lex)	komen	v(fin,past,lex)	False
O_M1_3_030	deese	deze	pron(dem)	deze	pron(dem)	False
O_M1_3_030	ween	wanen	n(sing)	wanen	n(sing)	False

O_M1_3_031	die	de	pron(rel)	de	pron(rel)	False
O_M1_3_031	wijlen	wijlen	adv(gener)	wijlen	adv(gener)	False
O_M1_3_031	so	zo	adv(gener)	zo	adv(gener)	False
O_M1_3_031	onwaert	onwaard	adj()	onwaard	adj()	False
O_M1_3_031	scheen	schijnen	v(fin,past,aux_cop)	schijnen	v(fin,past,aux_cop)	False

O_M1_3_032	ende	en	conj(coord)	en	conj(coord)	False
O_M1_3_032	nu	nu	adv(dem)	nu	adv(dem)	False
O_M1_3_032	sit	zitten	v(fin,pres,lex)	zitten	v(fin,pres,lex)	False
O_M1_3_032	zo	zo	adv(resum)	zo	adv(resum)	False
O_M1_3_032	hooghe	hoog	adj()	hoog	adj()	False

O_M1_3_033	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
O_M1_3_033	zal	zullen	v(fin,pres,aux_cop)	zullen	v(fin,pres,aux_cop)	False
O_M1_3_033	vraghen	vragen	v(infin)	vragen	v(infin)	False
O_M1_3_033	ende	en	conj(coord)	en	conj(coord)	False
O_M1_3_033	vleen	vlieden	v(infin)	vlieden	v(infin)	False

O_M1_3_034	antwoordt	antwoorden	v(fin,pres,lex)	antwoorden	v(fin,pres,lex)	False
O_M1_3_034	my	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
O_M1_3_034	ia	ja	interj()	ja	interj()	False
O_M1_3_034	ofte	of	conj(coord)	of	conj(coord)	False
O_M1_3_034	neen	neen	interj()	neen	interj()	False

O_M1_3_035	van	van	adp()	van	adp()	False
O_M1_3_035	dat	dat	conj(subord)	dat	conj(subord)	False
O_M1_3_035	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	False
O_M1_3_035	dy	du	pron(pers,2,sing)	du	pron(pers,2,sing)	False
O_M1_3_035	betooghe	betogen	v(fin,pres,lex)	betogen	v(fin,pres,lex)	False

O_M1_3_036	ledicheit	ledigheid	n(sing)	ledigheid	n(sing)	False
