line_id	form	lemma	pos	corr_lemma	corr_pos	damage
Z_M1_28_356	waer	waar	v(fin,past,aux_cop)	waar	v(fin,past,aux_cop)	False
Z_M1_28_356	hi	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
Z_M1_28_356	daer	daar	pronadv(dem)	daar	pronadv(dem)	False
Z_M1_28_356	mede	mede	pronadv(prep)	mede	pronadv(prep)	False
Z_M1_28_356	gewont	wonen	v(participle,past)	wonen	v(participle,past)	False

Z_M1_28_357	hine	hij+ne	pron(pers,3,sing)+adv(neg)	hij+ne	pron(pers,3,sing)+adv(neg)	False
Z_M1_28_357	waer	zijn	v(fin,past,aux_cop)	zijn	v(fin,past,aux_cop)	False
Z_M1_28_357	niet	niet	adv(neg)	niet	adv(neg)	False
Z_M1_28_357	in	in	adp()	in	adp()	False
Z_M1_28_357	elenden	ellende	n(plu)	ellende	n(plu)	False

Z_M1_28_358	maer	maar	conj(coord)	maar	conj(coord)	False
Z_M1_28_358	god	god	n(sing)	god	n(sing)	False
Z_M1_28_358	en	ne	adv(neg)	ne	adv(neg)	False
Z_M1_28_358	wilde	willen	v(fin,past,aux_cop)	willen	v(fin,past,aux_cop)	False
Z_M1_28_358	den	de	art(def)	de	art(def)	False
Z_M1_28_358	riken	rijk	adj()	rijk	adj()	False
Z_M1_28_358	vont	vinden	n(sing)	vinden	n(sing)	False

Z_M1_28_359	ghenen	geen	pron(dem)	geen	pron(dem)	False
Z_M1_28_359	sondare	zondaar	n(sing)	zondaar	n(sing)	False
Z_M1_28_359	genen	geen	pron(dem)	geen	pron(dem)	False
Z_M1_28_359	hont	hond	n(sing)	hond	n(sing)	False

Z_M1_28_360	nemmermeere	nimmermeer	adv(gener)	nimmermeer	adv(gener)	False
Z_M1_28_360	toe	te	adp()	te	adp()	False
Z_M1_28_360	sinden	zenden	v(infin)	zenden	v(infin)	False

Z_M1_28_361	dat	dat	art(def)	dat	art(def)	False
Z_M1_28_361	edele	edel	adj()	edel	adj()	False
Z_M1_28_361	gaue	geven	v(fin,past,lex)	geven	v(fin,past,lex)	False
Z_M1_28_361	dat	dat	conj(subord)	dat	conj(subord)	False
Z_M1_28_361	diere	duur	pron(dem)	duur	pron(dem)	False
Z_M1_28_361	pont	pond	n(sing)	pond	n(sing)	False

Z_M1_28_362	smaect	smaken	v(fin,pres,lex)	smaken	v(fin,pres,lex)	False
Z_M1_28_362	alleen	alleen	adv(gener)	alleen	adv(gener)	False
Z_M1_28_362	der	de	art(def)	de	art(def)	False
Z_M1_28_362	vriende	vriend	n(plu)	vriend	n(plu)	False
Z_M1_28_362	mont	mond	n(sing)	mond	n(sing)	False

Z_M1_28_363	men	men	pron(indef)	men	pron(indef)	False
Z_M1_28_363	mach	mogen	v(fin,pres,aux_cop)	mogen	v(fin,pres,aux_cop)	False
Z_M1_28_363	haer	haar	pron(poss)	haar	pron(poss)	False
Z_M1_28_363	lijf	lijf	n(sing)	lijf	n(sing)	False
Z_M1_28_363	doen	doen	v(infin)	doen	v(infin)	False
Z_M1_28_363	enden	einden	adp()+art(def)	einden	adp()+art(def)	False

Z_M1_28_364	ende	en	conj(coord)	en	conj(coord)	False
Z_M1_28_364	niet	niet	adv(neg)	niet	adv(neg)	False
Z_M1_28_364	de	de	art(def)	de	art(def)	False
Z_M1_28_364	ziele	ziel	n(sing)	ziel	n(sing)	False
Z_M1_28_364	scenden	schenden	v(infin)	schenden	v(infin)	False

Z_M1_29_365	dander	ander+de	num(ord)+art(def)	ander+de	num(ord)+art(def)	False
Z_M1_29_365	minne	minne	n(sing)	minne	n(sing)	False
Z_M1_29_365	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
Z_M1_29_365	onbehoet	onbehoed	adj()	onbehoed	adj()	False

Z_M1_29_366	want	want	conj(subord)	want	conj(subord)	False
Z_M1_29_366	si	zij	pron(pers,3,sing)	zij	pron(pers,3,sing)	False
