line_id	form	lemma	pos	corr_lemma	corr_pos	damage
E_M1_29_371	want	want	conj(subord)	want	conj(subord)	False
E_M1_29_371	tie	de	pron(dem)	de	pron(dem)	False
E_M1_29_371	ridder	ridder	n(sing)	ridder	n(sing)	False
E_M1_29_371	niet	niet	adv(neg)	niet	adv(neg)	False
E_M1_29_371	en	ne	adv(neg)	ne	adv(neg)	False
E_M1_29_371	doet	doen	v(fin,pres,lex)	doen	v(fin,pres,lex)	False

E_M1_29_372	hine	hij+ne	pron(pers,3,sing)+conj(neg)	hij+ne	pron(pers,3,sing)+conj(neg)	False
E_M1_29_372	verslit	verslind	v(fin,pres,lex)	verslind	v(fin,pres,lex)	False
E_M1_29_372	vleesch	vlees	n(sing)	vlees	n(sing)	False
E_M1_29_372	ende	en	conj(coord)	en	conj(coord)	False
E_M1_29_372	bloet	bloed	n(sing)	bloed	n(sing)	False

E_M1_29_373	op	op	adp()	op	adp()	False
E_M1_29_373	dat	dat	pron(dem)	dat	pron(dem)	False
E_M1_29_373	sijn	zijn	pron(poss)	zijn	pron(poss)	False
E_M1_29_373	prijs	prijs	n(sing)	prijs	n(sing)	False
E_M1_29_373	mere	meer	adj()	meer	adj()	False

E_M1_29_374	dander	ander+de	adj()+art(def)	ander+de	adj()+art(def)	False
E_M1_29_374	al	al	conj(subord)	al	conj(subord)	False
E_M1_29_374	ware	zijn	v(fin,past,aux_cop)	zijn	v(fin,past,aux_cop)	False
E_M1_29_374	al	al	adv(gener)	al	adv(gener)	False
E_M1_29_374	ghelt	geld	v(fin,pres,lex)	geld	v(fin,pres,lex)	False
E_M1_29_374	die	de	pron(rel)	de	pron(rel)	False
E_M1_29_374	vloet	vloed	v(fin,past,lex)	vloed	v(fin,past,lex)	False

E_M1_29_375	ende	en	conj(coord)	en	conj(coord)	False
E_M1_29_375	hem	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
E_M1_29_375	vloyde	vloeien	v(fin,past,lex)	vloeien	v(fin,past,lex)	False
E_M1_29_375	inden	de+in	adp()+art(def)	de+in	adp()+art(def)	False
E_M1_29_375	moet	moed	n(sing)	moed	n(sing)	False

E_M1_29_376	hem	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
E_M1_29_376	soude	zullen	v(fin,past,aux_cop)	zullen	v(fin,past,aux_cop)	False
E_M1_29_376	alsoe	alzo	adv(dem)	alzo	adv(dem)	False
E_M1_29_376	sere	zeer	adv(gener)	zeer	adv(gener)	False

E_M1_29_377	dorsten	dorren	v(fin,past,aux_cop)	dorren	v(fin,past,aux_cop)	False
E_M1_29_377	als	als	conj(comp)	als	conj(comp)	False
E_M1_29_377	dede	doen	v(fin,past,lex)	doen	v(fin,past,lex)	False
E_M1_29_377	ere	een	art(indef)	een	art(indef)	False

E_M1_30_378	dese	deze	pron(dem)	deze	pron(dem)	False
E_M1_30_378	minne	min	n(sing)	min	n(sing)	False
E_M1_30_378	heeft	hebben	v(fin,pres,aux_cop)	hebben	v(fin,pres,aux_cop)	False
E_M1_30_378	ondersceet	onderscheid	v(participle,past)	onderscheid	v(participle,past)	False

E_M1_30_379	van	van	adp()	van	adp()	False
E_M1_30_379	hem	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
E_M1_30_379	die	die	pron(rel)	die	pron(rel)	False
E_M1_30_379	na	na	adp()	na	adp()	False
E_M1_30_379	die	de	art(def)	de	art(def)	False
E_M1_30_379	ere	eer	n(sing)	eer	n(sing)	False
E_M1_30_379	steet	staan	v(fin,pres,lex)	staan	v(fin,pres,lex)	False

E_M1_30_380	ende	en	conj(coord)	en	conj(coord)	False
E_M1_30_380	pinen	pijnen	v(infin)	pijnen	v(infin)	False
E_M1_30_380	omden	om+de	adp()+art(def)	om+de	adp()+art(def)	False
E_M1_30_380	scatte	schat	n(sing)	schat	n(sing)	False

E_M1_30_381	wiltu	du+willen	pron(pers,2,sing)+v(fin,pres,aux_cop)	du+willen	pron(pers,2,sing)+v(fin,pres,aux_cop)	False
E_M1_30_381	ere	eer	n(sing)	eer	n(sing)	False
E_M1_30_381	hebben	hebben	v(infin)	hebben	v(infin)	False
E_M1_30_381	wes	wezen	v(imp)	wezen	v(imp)	False
E_M1_30_381	gereet	gereed	adj()	gereed	adj()	False

E_M1_30_382	te	te	adp()	te	adp()	False
E_M1_30_382	latene	laten	v(infin)	laten	v(infin)	False
E_M1_30_382	dat	dat	pron(rel)	dat	pron(rel)	False
E_M1_30_382	gode	god	n(sing)	god	n(sing)	False
E_M1_30_382	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
E_M1_30_382	leet	leed	adj()	leed	adj()	False

E_M1_30_383	pintti	du+pijnen	pron(pers,3,sing)+v(fin,pres,lex)	du+pijnen	pron(pers,3,sing)+v(fin,pres,lex)	False
E_M1_30_383	te	te	adp()	te	adp()	False
E_M1_30_383	doene	doen	v(infin)	doen	v(infin)	False
E_M1_30_383	datte	dat+de	conj(subord)+art(def)	dat+de	conj(subord)+art(def)	False

E_M1_30_384	dat	dat	pron(rel)	dat	pron(rel)	False
E_M1_30_384	hem	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
E_M1_30_384	lief	lief	adj()	lief	adj()	False
E_M1_30_384	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
E_M1_30_384	ende	en	conj(coord)	en	conj(coord)	False
E_M1_30_384	hi	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	False
E_M1_30_384	heet	heet	v(fin,pres,aux_cop)	heet	v(fin,pres,aux_cop)	False

E_M1_30_385	wes	wezen	v(imp)	wezen	v(imp)	False
E_M1_30_385	vromich	vromig	adj()	vromig	adj()	False
E_M1_30_385	ende	en	conj(coord)	en	conj(coord)	False
E_M1_30_385	om	om	adp()	om	adp()	False
E_M1_30_385	doget	deugd	n(sing)	deugd	n(sing)	False
E_M1_30_385	zweet	zweet	n(sing)	zweet	n(sing)	False

E_M1_30_386	dat	dat	conj(subord)	dat	conj(subord)	False
E_M1_30_386	men	men	pron(indef)	men	pron(indef)	False
E_M1_30_386	dy	du	pron(pers,2,sing)	du	pron(pers,2,sing)	False
E_M1_30_386	niet	niet	adv(neg)	niet	adv(neg)	False
E_M1_30_386	en	ne	adv(neg)	ne	adv(neg)	False
E_M1_30_386	matte	mat	v(fin,pres,lex)	mat	v(fin,pres,lex)	False

E_M1_30_387	onder	onder	adp()	onder	adp()	False
E_M1_30_387	der	de	art(def)	de	art(def)	False
E_M1_30_387	ydelder	ijdel	adj()	ijdel	adj()	False
E_M1_30_387	glorien	glorie	n(sing)	glorie	n(sing)	False
E_M1_30_387	cleet	kleed	n(sing)	kleed	n(sing)	False

E_M1_30_388	daer	daar	pronadv(rel)	daar	pronadv(rel)	False
E_M1_30_388	die	de	art(def)	de	art(def)	False
E_M1_30_388	meneghe	menig	n(sing)	menig	n(sing)	False
E_M1_30_388	met	mede	pronadv(rel)	mede	pronadv(rel)	False
E_M1_30_388	omme	om	pronadv(prep)	om	pronadv(prep)	False
E_M1_30_388	gheet	gaan	v(fin,pres,lex)	gaan	v(fin,pres,lex)	False

E_M1_30_389	want	want	conj(coord)	want	conj(coord)	False
E_M1_30_389	haere	haar	pron(poss)	haar	pron(poss)	False
E_M1_30_389	tonghe	tong	n(sing)	tong	n(sing)	False
E_M1_30_389	platte	plat	v(fin,past,lex)	plat	v(fin,past,lex)	False

E_M1_30_390	smelten	smelten	v(infin)	smelten	v(infin)	False
E_M1_30_390	als	als	conj(comp)	als	conj(comp)	False
E_M1_30_390	snee	sneeuw	n(sing)	sneeuw	n(sing)	False
E_M1_30_390	clatte	klad	n(sing)	klad	n(sing)	False

E_M1_31_391	ere	eer	n(sing)	eer	n(sing)	False
E_M1_31_391	te	te	adp()	te	adp()	False
E_M1_31_391	hebben	hebben	v(infin)	hebben	v(infin)	False
E_M1_31_391	es	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	False
E_M1_31_391	ene	een	art(indef)	een	art(indef)	False
E_M1_31_391	dinc	ding	n(sing)	ding	n(sing)	False

E_M1_31_392	daer	daar	pronadv(rel)	daar	pronadv(rel)	False
E_M1_31_392	noy	nooi	art(indef)	nooi	art(indef)	False
E_M1_31_392	herte	hart	n(sing)	hart	n(sing)	False
E_M1_31_392	met	mede	pronadv(rel)	mede	pronadv(rel)	False
E_M1_31_392	omme	om	adp()	om	adp()	False
E_M1_31_392	ghinc	gaan	v(fin,past,lex)	gaan	v(fin,past,lex)	False

E_M1_31_393	sine	zijn	pron(poss)	zijn	pron(poss)	False
E_M1_31_393	was	zijn	v(fin,past,aux_cop)	zijn	v(fin,past,aux_cop)	False
E_M1_31_393	van	van	adp()	van	adp()	False
E_M1_31_393	reynen	rein	adj()	rein	adj()	False
E_M1_31_393	arde	aard	n(sing)	aard	n(sing)	False

E_M1_31_394	bestu	du+zijn	pron(pers,2,sing)+v(fin,pres,aux_cop)	du+zijn	pron(pers,2,sing)+v(fin,pres,aux_cop)	False
E_M1_31_394	out	oud	adj()	oud	adj()	False
E_M1_31_394	oft	het+of	conj(coord)	het+of	conj(coord)	False
E_M1_31_394	iongelinc	jongeling	n(sing)	jongeling	n(sing)	False

E_M1_31_395	doet	doen	n(sing)	doen	n(sing)	False
E_M1_31_395	altoes	altoos	adv(gener)	altoos	adv(gener)	False
E_M1_31_395	wel	wel	adv(gener)	wel	adv(gener)	False
E_M1_31_395	dwinc	dwingen	adj()	dwingen	adj()	False

E_M1_31_396	dijnre	dijn	pron(poss)	dijn	pron(poss)	False
E_M1_31_396	herten	hart	n(sing)	hart	n(sing)	False
E_M1_31_396	houerde	hovaardij	n(sing)	hovaardij	n(sing)	False

E_M1_31_397	prijs	prijs	n(sing)	prijs	n(sing)	False
E_M1_31_397	die	die	pron(rel)	die	pron(rel)	False
E_M1_31_397	in	in	adp()	in	adp()	False
E_M1_31_397	lodders	lodder	n(prop)	lodder	n(prop)	False
E_M1_31_397	tonghe	tong	n(sing)	tong	n(sing)	False
E_M1_31_397	hinc	hangen	v(fin,past,lex)	hangen	v(fin,past,lex)	False

E_M1_31_398	was	zijn	v(fin,past,aux_cop)	zijn	v(fin,past,aux_cop)	False
E_M1_31_398	noit	nooit	adv(gener)	nooit	adv(gener)	False
E_M1_31_398	wert	worden	adj()	worden	adj()	False
E_M1_31_398	eender	een	adp()+art(def)	een	adp()+art(def)	False
E_M1_31_398	oghenwinc	oegewing	n(sing)	oegewing	n(sing)	False

E_M1_31_399	onder	onder	adp()	onder	adp()	False
E_M1_31_399	die	de	art(def)	de	art(def)	False
E_M1_31_399	goede	goed	adj()	goed	adj()	False
E_M1_31_399	waerde	waarde	n(sing)	waarde	n(sing)	False

E_M1_31_400	onwaerdeghen	onwaardig	adj()	onwaardig	adj()	False
E_M1_31_400	lof	lof	n(sing)	lof	n(sing)	False
E_M1_31_400	vliet	vlieden	v(fin,pres,lex)	vlieden	v(fin,pres,lex)	False
E_M1_31_400	ende	en	conj(coord)	en	conj(coord)	False
E_M1_31_400	ontsprinc	ontspringen	v(fin,past,lex)	ontspringen	v(fin,past,lex)	False

E_M1_31_401	die	die	art(def)	die	art(def)	False
E_M1_31_401	meneghen	menig	num(indef)	menig	num(indef)	False
E_M1_31_401	vaet	vat	n(sing)	vat	n(sing)	False
E_M1_31_401	ende	en	conj(coord)	en	conj(coord)	False
E_M1_31_401	wilen	wijlen	adv(gener)	wijlen	adv(gener)	False
E_M1_31_401	vinc	vangen	v(fin,past,lex)	vangen	v(fin,past,lex)	False

E_M1_31_402	die	die	pron(rel)	die	pron(rel)	False
E_M1_31_402	dat	dat	art(def)	dat	art(def)	False
E_M1_31_402	wort	worden	n(plu)	worden	n(plu)	False
E_M1_31_402	begaerde	begeren	v(fin,past,lex)	begeren	v(fin,past,lex)	False

E_M1_31_403	ende	en	conj(coord)	en	conj(coord)	False
E_M1_31_403	dat	dat	conj(subord)	dat	conj(subord)	False
E_M1_31_403	weldoen	weldoen	adj()	weldoen	adj()	False
E_M1_31_403	sparde	sparen	v(fin,past,lex)	sparen	v(fin,past,lex)	False

E_M1_32_404	goet	goed	adj()	goed	adj()	False
E_M1_32_404	te	te	adp()	te	adp()	False
E_M1_32_404	hebben	hebben	v(infin)	hebben	v(infin)	False
E_M1_32_404	ende	en	conj(coord)	en	conj(coord)	False
E_M1_32_404	scat	schat	n(sing)	schat	n(sing)	False

E_M1_32_405	ende	en	conj(coord)	en	conj(coord)	False
E_M1_32_405	met	met	adp()	met	adp()	False
E_M1_32_405	eren	eer	n(sing)	eer	n(sing)	False
E_M1_32_405	te	te	adp()	te	adp()	False
E_M1_32_405	nutten	nutten	v(infin)	nutten	v(infin)	False
E_M1_32_405	dat	dat	pron(rel)	dat	pron(rel)	False

E_M1_32_406	dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	False
E_M1_32_406	een	een	art(indef)	een	art(indef)	False
E_M1_32_406	salich	zalig	adj()	zalig	adj()	False
E_M1_32_406	leuen	leven	n(sing)	leven	n(sing)	False

E_M1_32_407	maer	maar	conj(coord)	maar	conj(coord)	False
E_M1_32_407	gods	god	n(sing)	god	n(sing)	False
E_M1_32_407	minne	minne	n(sing)	minne	n(sing)	False
