line_id	form	lemma	pos	corr_lemma	corr_pos	damage
D2_M1_75_966	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	True
D2_M1_75_966	vergheuet	vergeven	v(fin,pres,lex)	vergeven	v(fin,pres,lex)	True
D2_M1_75_966	al	al	adv(gener)	al	adv(gener)	True
D2_M1_75_966	onghedo	ongedoude	adj()	ongedoude	adj()	True

D2_M1_75_967	alle	al	num(indef)	al	num(indef)	True
D2_M1_75_967	vrouwen	vrouw	n(plu)	vrouw	n(plu)	True
D2_M1_75_967	ionc	jong	n(plu)	jong	n(plu)	True
D2_M1_75_967	ende	en	conj(coord)	en	conj(coord)	True
D2_M1_75_967	oud	oud	adj()	oud	adj()	True

D2_M1_75_968	om	om	adp()	om	adp()	True
D2_M1_75_968	eene	een	art(indef)	een	art(indef)	True
D2_M1_75_968	vrouwe	vrouw	n(sing)	vrouw	n(sing)	True
D2_M1_75_968	hogh	hoog	n(sing)	hoog	n(sing)	True

D2_M1_75_969	daer	daar	pronadv(rel)	daar	pronadv(rel)	True
D2_M1_75_969	ons	wij	pron(pers,1,plu)	wij	pron(pers,1,plu)	True
D2_M1_75_969	afquam	afkomen	v(fin,past,lex)	afkomen	v(fin,past,lex)	True
D2_M1_75_969	onse	ons	pron(poss)	ons	pron(poss)	True

D2_M1_75_970	ghedanct	danken	v(participle,past)	danken	v(participle,past)	True
D2_M1_75_970	si	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	True
D2_M1_75_970	die	de	pron(rel)	de	pron(rel)	True
D2_M1_75_970	dusentfo	duizend	n(sing)	duizend	n(sing)	True

D2_M1_75_971	datse	dat+zij	conj(subord)+pron(pers,3,plu)	dat+zij	conj(subord)+pron(pers,3,plu)	True
D2_M1_75_971	hem	hij	pron(pers,3,sing)	hij	pron(pers,3,sing)	True
D2_M1_75_971	op	op	adp()	op	adp()	True
D2_M1_75_971	hielt	houden	v(fin,past,lex)	houden	v(fin,past,lex)	True
D2_M1_75_971	met	met	adp()	met	adp()	True

D2_M1_75_972	die	die	pron(rel)	die	pron(rel)	True
D2_M1_75_972	ons	wij	pron(pers,1,plu)	wij	pron(pers,1,plu)	True
D2_M1_75_972	benam	benemen	v(fin,past,lex)	benemen	v(fin,past,lex)	True
D2_M1_75_972	thelsch	het+hals	art(def)+n(sing)	het+hals	art(def)+n(sing)	True

D2_M1_75_973	in	in	adp()	in	adp()	True
D2_M1_75_973	haer	zij	pron(pers,3,sing)	zij	pron(pers,3,sing)	True
D2_M1_75_973	ben	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	True
D2_M1_75_973	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	True
D2_M1_75_973	te	te	adp()	te	adp()	True
D2_M1_75_973	eynden	einde	n(sing)	einde	n(sing)	True
D2_M1_75_973	b	b	n(sing)	b	n(sing)	True

D2_M1_75_974	onser	ons	pron(poss)	ons	pron(poss)	False
D2_M1_75_974	beider	beide	num(indef)	beide	num(indef)	False
D2_M1_75_974	dyaloghe	de+ilago	n(plu)	de+ilago	n(plu)	False

D2_M1_75_975	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	True
D2_M1_75_975	en	ne	adv(neg)	ne	adv(neg)	True
D2_M1_75_975	vrage	vragen	v(fin,pres,lex)	vragen	v(fin,pres,lex)	True
D2_M1_75_975	niet	niet	adv(neg)	niet	adv(neg)	True
D2_M1_75_975	meer	meer	adv(gener)	meer	adv(gener)	True
D2_M1_75_975	no	no	conj(coord)	no	conj(coord)	True

D2_M2_1_000	dat	dat	art(def)	dat	art(def)	True
D2_M2_1_000	ander	ander	adj()	ander	adj()	True
D2_M2_1_000	de	de	art(def)	de	art(def)	True
D2_M2_1_000	bo	b	n(sing)	b	n(sing)	True

D2_M2_1_001	martijn	martin	n(prop)	martin	n(prop)	True
D2_M2_1_001	slaepty	slaaptje	n(prop)	slaaptje	n(prop)	True
D2_M2_1_001	sla	slaan	v(imp)	slaan	v(imp)	True

D2_M2_1_002	spreect	spreken	v(fin,pres,lex)	spreken	v(fin,pres,lex)	True
D2_M2_1_002	hebdy	hebben+gij	n(prop)	hebben+gij	n(prop)	True
D2_M2_1_002	g	g	n(sing)	g	n(sing)	True

D2_M2_1_003	ghi	gij	pron(pers,2,plu)	gij	pron(pers,2,plu)	True
D2_M2_1_003	duncket	dunken	v(fin,pres,lex)	dunken	v(fin,pres,lex)	True
D2_M2_1_003	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	True
D2_M2_1_003	verdor	verdoren	v(infin)	verdoren	v(infin)	True

D2_M2_1_004	ghi	gij	pron(pers,2,plu)	gij	pron(pers,2,plu)	True
D2_M2_1_004	en	en	adv(neg)	en	adv(neg)	True
D2_M2_1_004	achtet	achten+het	v(fin,pres,lex)	achten+het	v(fin,pres,lex)	True
D2_M2_1_004	meer	meer	adv(gener)	meer	adv(gener)	True
D2_M2_1_004	noch	noch	conj(coord)	noch	conj(coord)	True

D2_M2_1_005	dan	dan	conj(comp)	dan	conj(comp)	True
D2_M2_1_005	op	op	adp()	op	adp()	True
D2_M2_1_005	weelde	weelde	n(sing)	weelde	n(sing)	True
D2_M2_1_005	ende	en	conj(coord)	en	conj(coord)	True
D2_M2_1_005	ghe	geen	n(prop)	geen	n(prop)	True

D2_M2_1_006	wildi	gij+willen	pron(pers,2,plu)+v(fin,pres,aux_cop)	gij+willen	pron(pers,2,plu)+v(fin,pres,aux_cop)	True
D2_M2_1_006	v	gij	pron(pers,2,plu)	gij	pron(pers,2,plu)	True
D2_M2_1_006	dus	dus	adv(dem)	dus	adv(dem)	True
D2_M2_1_006	versmoren	versmoren	v(infin)	versmoren	v(infin)	True

D2_M2_1_007	al	al	adv(gener)	al	adv(gener)	True
D2_M2_1_007	waert	zijn+het	v(fin,past,lex)+pron(pers,3,sing)	zijn+het	v(fin,past,lex)+pron(pers,3,sing)	True
D2_M2_1_007	al	al	adv(gener)	al	adv(gener)	True
D2_M2_1_007	uwe	uw	pron(poss)	uw	pron(poss)	True
D2_M2_1_007	dat	dat	art(def)	dat	art(def)	True
D2_M2_1_007	coe	koe	n(sing)	koe	n(sing)	True

D2_M2_1_008	gout	goud	n(sing)	goud	n(sing)	True
D2_M2_1_008	silner	zullen+er	pron(poss)	zullen+er	pron(poss)	True
D2_M2_1_008	loot	lood	n(sing)	lood	n(sing)	True
D2_M2_1_008	stael	staal	n(sing)	staal	n(sing)	True
D2_M2_1_008	ys	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	True

D2_M2_1_009	nochtan	nochtan	adv(gener)	nochtan	adv(gener)	True
D2_M2_1_009	bleeft	blijven	v(fin,past,aux_cop)+pron(pers,3,sing)	blijven	v(fin,past,aux_cop)+pron(pers,3,sing)	True
D2_M2_1_009	ghi	gij	pron(pers,2,plu)	gij	pron(pers,2,plu)	True
D2_M2_1_009	verl	verlenen	adv(gener)	verlenen	adv(gener)	True

D2_M2_1_010	daerstu	daartoe	conj(subord)+pron(pers,2,sing)	daartoe	conj(subord)+pron(pers,2,sing)	True
D2_M2_1_010	der	de	art(def)	de	art(def)	True
D2_M2_1_010	duecht	deugd	n(sing)	deugd	n(sing)	True
D2_M2_1_010	geen	geen	pron(indef)	geen	pron(indef)	True
D2_M2_1_010	be	bij	adp()	bij	adp()	True

D2_M2_1_011	hooft	hoofd	n(sing)	hoofd	n(sing)	True
D2_M2_1_011	ende	en	conj(coord)	en	conj(coord)	True
D2_M2_1_011	uwen	uw	pron(poss)	uw	pron(poss)	True
D2_M2_1_011	sin	zin	n(sing)	zin	n(sing)	True

D2_M2_1_012	waerstu	du+zijn	pron(pers,2,sing)+v(fin,past,lex)	du+zijn	pron(pers,2,sing)+v(fin,past,lex)	True
D2_M2_1_012	geboren	geboren	adj()	geboren	adj()	True

D2_M2_1_013	chtens	cijns	n(sing)	cijns	n(sing)	True
D2_M2_1_013	versworen	verzworen	v(infin)	verzworen	v(infin)	True

D2_M2_2_014	ghi	gij	pron(pers,2,plu)	gij	pron(pers,2,plu)	True
D2_M2_2_014	woent	wonen	v(fin,pres,lex)	wonen	v(fin,pres,lex)	True
D2_M2_2_014	in	in	adp()	in	adp()	True
D2_M2_2_014	den	de	art(def)	de	art(def)	True
D2_M2_2_014	dam	dam	n(sing)	dam	n(sing)	True

D2_M2_2_015	echt	echt	adv(gener)	echt	adv(gener)	True
D2_M2_2_015	dies	dat	pron(dem)	dat	pron(dem)	True
D2_M2_2_015	ben	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	True
D2_M2_2_015	ic	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	True
D2_M2_2_015	gram	gram	adj()	gram	adj()	True

D2_M2_2_016	s	sint	misc()	sint	misc()	True
D2_M2_2_016	sijn	zijn	v(fin,pres,aux_cop)	zijn	v(fin,pres,aux_cop)	True
D2_M2_2_016	verscheeden	verscheiden	v(participle,past)	verscheiden	v(participle,past)	True

D2_M2_2_017	at	eten	v(fin,past,lex)	eten	v(fin,past,lex)	True
D2_M2_2_017	mi	ik	pron(pers,1,sing)	ik	pron(pers,1,sing)	True
D2_M2_2_017	meest	meest	adv(gener)	meest	adv(gener)	True
